organisation,region
local-authority-eng:BKM,south-east
local-authority-eng:CAM,east-of-england
local-authority-eng:CMA,north-west
local-authority-eng:DBY,east-midlands
local-authority-eng:DEV,south-west
local-authority-eng:DOR,south-west
local-authority-eng:ESS,east-of-england
local-authority-eng:ESX,south-east
local-authority-eng:GLS,south-west
local-authority-eng:HAM,south-east
local-authority-eng:HRT,east-of-england
local-authority-eng:KEN,south-east
local-authority-eng:LAN,north-west
local-authority-eng:LCR,north-west
local-authority-eng:LEC,east-midlands
local-authority-eng:LIN,east-midlands
local-authority-eng:NFK,east-of-england
local-authority-eng:NTH,east-midlands
local-authority-eng:NTT,east-midlands
local-authority-eng:NYK,yorkshire-and-the-humber
local-authority-eng:OXF,south-east
local-authority-eng:SFK,east-of-england
local-authority-eng:SOM,south-west
local-authority-eng:SRY,south-east
local-authority-eng:STS,west-midlands
local-authority-eng:WAR,west-midlands
local-authority-eng:WOR,west-midlands
local-authority-eng:WSX,south-east
