wikidata,legislature,name,website,statistical-geography,toid,start-date,end-date
Q73072595,Q21561306,Craven District Council,https://www.cravendc.gov.uk,,,,
Q30255982,Q21561306,Crawley Borough Council,https://www.crawley.gov.uk,,,1974-01-01T00:00:00Z,
Q5189676,Q21561350,Croydon London Borough Council,https://www.croydon.gov.uk,,,,
Q5193868,Q4321471,Cumberland County Council,,,,,
Q5194027,Q4321471,Cumbria County Council,https://www.cumbria.gov.uk,,,,
Q5207723,Q21561306,Dacorum Borough Council,https://www.dacorum.gov.uk,,,,
Q16948698,Q21561328,Darlington Borough Council,https://www.darlington.gov.uk,,,,
Q55098919,Q21561306,Dartford Borough Council,https://www.dartford.gov.uk,,,,
Q5225646,Q3336962,Dartmoor National Park Authority,https://www.dartmoor.gov.uk,E26000001,,,
Q73072596,Q21561306,Daventry District Council,https://www.daventrydc.gov.uk,,,,
Q5261430,Q21561328,Derby City Council,https://www.derby.gov.uk,,,,
Q5261561,Q4321471,Derbyshire County Council,https://www.derbyshire.gov.uk,,,,
Q73072598,Q21561306,Derbyshire Dales District Council,https://www.derbyshiredales.gov.uk,,,,
Q6385990,Q4321471,Devon County Council,https://www.devon.gov.uk,,,,
Q16988947,Q19414242,Doncaster Metropolitan Borough Council,https://www.doncaster.gov.uk,,,,
Q55609905,Q21561328,Dorset Council,https://www.dorsetcouncil.gov.uk,E06000059,,,
Q5298839,Q4321471,Dorset County Council,https://www.dorsetforyou.com,,,,
Q55098918,Q21561306,Dover District Council,https://www.dover.gov.uk,,,,
Q16991635,Q19414242,Dudley Metropolitan Borough Council,https://www.dudley.gov.uk,,,,
Q5316492,Q21561328,Durham County Council,https://www.durham.gov.uk,,,,
Q5325486,Q21561350,Ealing London Borough Council,https://www.ealing.gov.uk,,,,
Q65090031,Q21561306,East Cambridgeshire District Council,https://www.eastcambs.gov.uk,,,,
Q69118038,Q21561306,East Devon District Council,https://eastdevon.gov.uk,,,,
