opendatacommunities,name,statistical-geography
http://opendatacommunities.org/id/dev-corp/ebbsfleet,Ebbsfleet Development Corporation,E51000003
http://opendatacommunities.org/id/dev-corp/london-legacy,London Legacy Development Corporation,E51000001
http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,Old Oak and Park Royal Development Corporation,E51000002
http://opendatacommunities.org/id/dev-corp/south-tees,South Tees Development Corporation,E51000004
