o,opendatacommunities-area,p,name,statistical-geography,opendatacommunities
http://opendatacommunities.org/def/ontology/admingeo/MetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/md/E08000033,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Calderdale,E08000033,http://opendatacommunities.org/id/metropolitan-district-council/calderdale
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000008,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cambridge,E07000008,http://opendatacommunities.org/id/district-council/cambridge
http://opendatacommunities.org/def/ontology/admingeo/County,http://opendatacommunities.org/id/geography/administration/cty/E10000003,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cambridgeshire,E10000003,http://opendatacommunities.org/id/county-council/cambridgeshire
http://opendatacommunities.org/def/ontology/admingeo/LondonBorough,http://opendatacommunities.org/id/geography/administration/lonb/E09000007,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Camden,E09000007,http://opendatacommunities.org/id/london-borough-council/camden
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000192,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cannock Chase,E07000192,http://opendatacommunities.org/id/district-council/cannock-chase
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000106,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Canterbury,E07000106,http://opendatacommunities.org/id/district-council/canterbury
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000019,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Caradon,E07000019,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000028,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Carlisle,E07000028,http://opendatacommunities.org/id/district-council/carlisle
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000020,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Carrick,E07000020,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000160,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Castle Morpeth,E07000160,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000069,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Castle Point,E07000069,http://opendatacommunities.org/id/district-council/castle-point
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000056,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Central Bedfordshire,E06000056,http://opendatacommunities.org/id/unitary-authority/central-bedfordshire
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000130,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Charnwood,E07000130,http://opendatacommunities.org/id/district-council/charnwood
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000070,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Chelmsford,E07000070,http://opendatacommunities.org/id/district-council/chelmsford
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000078,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cheltenham,E07000078,http://opendatacommunities.org/id/district-council/cheltenham
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000177,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cherwell,E07000177,http://opendatacommunities.org/id/district-council/cherwell
http://opendatacommunities.org/def/ontology/admingeo/County,http://opendatacommunities.org/id/geography/administration/cty/E10000004,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cheshire,E10000004,
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000049,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cheshire East,E06000049,http://opendatacommunities.org/id/unitary-authority/cheshire-east
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000050,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cheshire West and Chester,E06000050,http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000013,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Chester,E07000013,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000054,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Chester-le-Street,E07000054,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000034,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Chesterfield,E07000034,http://opendatacommunities.org/id/district-council/chesterfield
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000225,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Chichester,E07000225,http://opendatacommunities.org/id/district-council/chichester
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000005,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Chiltern,E07000005,http://opendatacommunities.org/id/district-council/chiltern
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000118,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Chorley,E07000118,http://opendatacommunities.org/id/district-council/chorley
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000048,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Christchurch,E07000048,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole
http://opendatacommunities.org/def/ontology/admingeo/LondonBorough,http://opendatacommunities.org/id/geography/administration/lonb/E09000001,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,City of London,E09000001,http://opendatacommunities.org/id/london-borough-council/city-of-london
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000071,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Colchester,E07000071,http://opendatacommunities.org/id/district-council/colchester
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000014,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Congleton,E07000014,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000029,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Copeland,E07000029,http://opendatacommunities.org/id/district-council/copeland
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000150,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Corby,E07000150,http://opendatacommunities.org/id/district-council/corby
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000052,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cornwall,E06000052,http://opendatacommunities.org/id/unitary-authority/cornwall
http://opendatacommunities.org/def/ontology/admingeo/County,http://opendatacommunities.org/id/geography/administration/cty/E10000005,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cornwall and Isles of Scilly,E10000005,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000079,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cotswold,E07000079,http://opendatacommunities.org/id/district-council/cotswold
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000047,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,County Durham,E06000047,http://opendatacommunities.org/id/unitary-authority/county-durham
http://opendatacommunities.org/def/ontology/admingeo/MetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/md/E08000026,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Coventry,E08000026,http://opendatacommunities.org/id/metropolitan-district-council/coventry
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000163,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Craven,E07000163,http://opendatacommunities.org/id/district-council/craven
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000226,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Crawley,E07000226,http://opendatacommunities.org/id/district-council/crawley
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000015,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Crewe and Nantwich,E07000015,
http://opendatacommunities.org/def/ontology/admingeo/LondonBorough,http://opendatacommunities.org/id/geography/administration/lonb/E09000008,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Croydon,E09000008,http://opendatacommunities.org/id/london-borough-council/croydon
http://opendatacommunities.org/def/ontology/admingeo/County,http://opendatacommunities.org/id/geography/administration/cty/E10000006,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Cumbria,E10000006,http://opendatacommunities.org/id/county-council/cumbria
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000096,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Dacorum,E07000096,http://opendatacommunities.org/id/district-council/dacorum
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000005,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Darlington,E06000005,http://opendatacommunities.org/id/unitary-authority/darlington
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000107,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Dartford,E07000107,http://opendatacommunities.org/id/district-council/dartford
http://opendatacommunities.org/def/ontology/admingeo/nationalPark,http://opendatacommunities.org/id/geography/administration/npark/E26000001,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Dartmoor National Park,E26000001,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000151,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Daventry,E07000151,http://opendatacommunities.org/id/district-council/daventry
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000015,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Derby,E06000015,http://opendatacommunities.org/id/unitary-authority/derby
http://opendatacommunities.org/def/ontology/admingeo/County,http://opendatacommunities.org/id/geography/administration/cty/E10000007,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Derbyshire,E10000007,http://opendatacommunities.org/id/county-council/derbyshire
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000035,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Derbyshire Dales,E07000035,http://opendatacommunities.org/id/district-council/derbyshire-dales
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000055,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Derwentside,E07000055,
http://opendatacommunities.org/def/ontology/admingeo/County,http://opendatacommunities.org/id/geography/administration/cty/E10000008,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Devon,E10000008,http://opendatacommunities.org/id/county-council/devon
http://opendatacommunities.org/def/ontology/admingeo/MetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/md/E08000017,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Doncaster,E08000017,http://opendatacommunities.org/id/metropolitan-district-council/doncaster
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000059,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Dorset,E06000059,
http://opendatacommunities.org/def/ontology/admingeo/County,http://opendatacommunities.org/id/geography/administration/cty/E10000009,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Dorset,E10000009,http://opendatacommunities.org/id/unitary-authority/dorset
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000108,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Dover,E07000108,http://opendatacommunities.org/id/district-council/dover
http://opendatacommunities.org/def/ontology/admingeo/MetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/md/E08000027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Dudley,E08000027,http://opendatacommunities.org/id/metropolitan-district-council/dudley
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000056,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Durham,E07000056,
http://opendatacommunities.org/def/ontology/admingeo/County,http://opendatacommunities.org/id/geography/administration/cty/E10000010,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Durham,E10000010,
http://opendatacommunities.org/def/ontology/admingeo/LondonBorough,http://opendatacommunities.org/id/geography/administration/lonb/E09000009,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Ealing,E09000009,http://opendatacommunities.org/id/london-borough-council/ealing
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000057,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Easington,E07000057,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000009,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,East Cambridgeshire,E07000009,http://opendatacommunities.org/id/district-council/east-cambridgeshire
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000040,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,East Devon,E07000040,http://opendatacommunities.org/id/district-council/east-devon
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000049,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,East Dorset,E07000049,http://opendatacommunities.org/id/unitary-authority/dorset
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000085,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,East Hampshire,E07000085,http://opendatacommunities.org/id/district-council/east-hampshire
