o,opendatacommunities-area,p,name,statistical-geography,opendatacommunities
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000223,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Adur,E07000223,http://opendatacommunities.org/id/district-council/adur
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000026,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Allerdale,E07000026,http://opendatacommunities.org/id/district-council/allerdale
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000157,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Alnwick,E07000157,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000032,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Amber Valley,E07000032,http://opendatacommunities.org/id/district-council/amber-valley
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000224,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Arun,E07000224,http://opendatacommunities.org/id/district-council/arun
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000170,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Ashfield,E07000170,http://opendatacommunities.org/id/district-council/ashfield
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000105,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Ashford,E07000105,http://opendatacommunities.org/id/district-council/ashford
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000004,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Aylesbury Vale,E07000004,http://opendatacommunities.org/id/district-council/aylesbury-vale
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000200,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Babergh,E07000200,http://opendatacommunities.org/id/district-council/babergh
http://opendatacommunities.org/def/ontology/admingeo/LondonBorough,http://opendatacommunities.org/id/geography/administration/lonb/E09000002,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Barking and Dagenham,E09000002,http://opendatacommunities.org/id/london-borough-council/barking-and-dagenham
http://opendatacommunities.org/def/ontology/admingeo/LondonBorough,http://opendatacommunities.org/id/geography/administration/lonb/E09000003,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Barnet,E09000003,http://opendatacommunities.org/id/london-borough-council/barnet
http://opendatacommunities.org/def/ontology/admingeo/MetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/md/E08000016,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Barnsley,E08000016,http://opendatacommunities.org/id/metropolitan-district-council/barnsley
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000027,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Barrow-in-Furness,E07000027,http://opendatacommunities.org/id/district-council/barrow-in-furness
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000066,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Basildon,E07000066,http://opendatacommunities.org/id/district-council/basildon
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000084,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Basingstoke and Deane,E07000084,http://opendatacommunities.org/id/district-council/basingstoke
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000171,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bassetlaw,E07000171,http://opendatacommunities.org/id/district-council/bassetlaw
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000022,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bath and North East Somerset,E06000022,http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000002,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bedford,E07000002,
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000055,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bedford,E06000055,http://opendatacommunities.org/id/unitary-authority/bedford
http://opendatacommunities.org/def/ontology/admingeo/County,http://opendatacommunities.org/id/geography/administration/cty/E10000001,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bedfordshire,E10000001,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000158,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Berwick-upon-Tweed,E07000158,
http://opendatacommunities.org/def/ontology/admingeo/LondonBorough,http://opendatacommunities.org/id/geography/administration/lonb/E09000004,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bexley,E09000004,http://opendatacommunities.org/id/london-borough-council/bexley
http://opendatacommunities.org/def/ontology/admingeo/MetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/md/E08000025,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Birmingham,E08000025,http://opendatacommunities.org/id/metropolitan-district-council/birmingham
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000129,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Blaby,E07000129,http://opendatacommunities.org/id/district-council/blaby
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000008,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Blackburn with Darwen,E06000008,http://opendatacommunities.org/id/unitary-authority/blackburn
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000009,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Blackpool,E06000009,http://opendatacommunities.org/id/unitary-authority/blackpool
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000159,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Blyth Valley,E07000159,
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000033,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bolsover,E07000033,http://opendatacommunities.org/id/district-council/bolsover
http://opendatacommunities.org/def/ontology/admingeo/MetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/md/E08000001,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bolton,E08000001,http://opendatacommunities.org/id/metropolitan-district-council/bolton
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000136,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Boston,E07000136,http://opendatacommunities.org/id/district-council/boston
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000028,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bournemouth,E06000028,http://opendatacommunities.org/id/unitary-authority/bournemouth-christchurch-and-poole
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000058,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,"Bournemouth, Christchurch and Poole",E06000058,
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000036,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bracknell Forest,E06000036,http://opendatacommunities.org/id/unitary-authority/bracknell-forest
http://opendatacommunities.org/def/ontology/admingeo/MetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/md/E08000032,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bradford,E08000032,http://opendatacommunities.org/id/metropolitan-district-council/bradford
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000067,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Braintree,E07000067,http://opendatacommunities.org/id/district-council/braintree
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000143,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Breckland,E07000143,http://opendatacommunities.org/id/district-council/breckland
http://opendatacommunities.org/def/ontology/admingeo/LondonBorough,http://opendatacommunities.org/id/geography/administration/lonb/E09000005,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Brent,E09000005,http://opendatacommunities.org/id/london-borough-council/brent
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000068,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Brentwood,E07000068,http://opendatacommunities.org/id/district-council/brentwood
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000182,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bridgnorth,E07000182,
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000043,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Brighton and Hove,E06000043,http://opendatacommunities.org/id/unitary-authority/brighton-and-hove
http://opendatacommunities.org/def/ontology/admingeo/UnitaryAuthority,http://opendatacommunities.org/id/geography/administration/ua/E06000023,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,"Bristol, City of",E06000023,http://opendatacommunities.org/id/unitary-authority/bristol
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000144,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Broadland,E07000144,http://opendatacommunities.org/id/district-council/broadland
http://opendatacommunities.org/def/ontology/admingeo/LondonBorough,http://opendatacommunities.org/id/geography/administration/lonb/E09000006,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bromley,E09000006,http://opendatacommunities.org/id/london-borough-council/bromley
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000234,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bromsgrove,E07000234,http://opendatacommunities.org/id/district-council/bromsgrove
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000095,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Broxbourne,E07000095,http://opendatacommunities.org/id/district-council/broxbourne
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000172,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Broxtowe,E07000172,http://opendatacommunities.org/id/district-council/broxtowe
http://opendatacommunities.org/def/ontology/admingeo/County,http://opendatacommunities.org/id/geography/administration/cty/E10000002,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Buckinghamshire,E10000002,http://opendatacommunities.org/id/county-council/buckinghamshire
http://opendatacommunities.org/def/ontology/admingeo/NonMetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/nmd/E07000117,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Burnley,E07000117,http://opendatacommunities.org/id/district-council/burnley
http://opendatacommunities.org/def/ontology/admingeo/MetropolitanDistrict,http://opendatacommunities.org/id/geography/administration/md/E08000002,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Bury,E08000002,http://opendatacommunities.org/id/metropolitan-district-council/bury
