index-entry-number,entry-number,entry-timestamp,key,"principal-local-authority",name,name-cy,official-name,official-name-cy,start-date,end-date
23,23,2017-08-01T09:15:16Z,RCT,RCT,"Rhondda Cynon Taff","Rhondda Cynon Taf","Rhondda Cynon Taf County Borough Council","Cyngor Bwrdeistref Sirol Rhondda Cynon Taf",1996-04-01,
22,22,2017-07-06T15:55:39Z,WRX,WRX,Wrexham,Wrecsam,"Wrexham County Borough Council","Cyngor Bwrdeistref Sirol Wrecsam",1996-04-01,
21,21,2017-07-06T15:55:39Z,VGL,VGL,"The Vale of Glamorgan","Bro Morgannwg","Vale of Glamorgan Council","Cyngor Bro Morgannwg",1996-04-01,
20,20,2017-07-06T15:55:39Z,TOF,TOF,Torfaen,Tor-faen,"Torfaen County Borough Council","Cyngor Bwrdeistref Sirol Torfaen",1996-04-01,
19,19,2017-07-06T15:55:39Z,SWA,SWA,Swansea,Abertawe,"City and County of Swansea Council","Dinas a Sir Abertawe",1996-04-01,
17,17,2017-07-06T15:55:39Z,POW,POW,Powys,Powys,"Powys County Council","Cyngor Sir Powys",1996-04-01,
16,16,2017-07-06T15:55:39Z,PEM,PEM,Pembrokeshire,"Sir Benfro","Pembrokeshire County Council","Cyngor Sir Penfro",1996-04-01,
15,15,2017-07-06T15:55:39Z,NWP,NWP,Newport,Casnewydd,"Newport City Council","Cyngor Dinas Casnewydd",1996-04-01,
14,14,2017-07-06T15:55:39Z,NTL,NTL,"Neath Port Talbot","Castell-nedd Port Talbot","Neath Port Talbot County Borough Council","Cyngor Bwrdeistref Sirol Castell-nedd Port Talbot",1996-04-01,
13,13,2017-07-06T15:55:39Z,MTY,MTY,"Merthyr Tydfil","Merthyr Tudful","Merthyr Tydfil County Borough Council","Cyngor Bwrdeistref Sirol Merthyr Tudful",1996-04-01,
12,12,2017-07-06T15:55:39Z,MON,MON,Monmouthshire,"Sir Fynwy","Monmouthshire County Council","Cyngor Sir Fynwy",1996-04-01,
11,11,2017-07-06T15:55:39Z,GWN,GWN,Gwynedd,Gwynedd,"Gwynedd Council","Cyngor Gwynedd",1996-04-01,
10,10,2017-07-06T15:55:39Z,FLN,FLN,Flintshire,"Sir y Fflint","Flintshire County Council","Cyngor Sir y Fflint",1996-04-01,
9,9,2017-07-06T15:55:39Z,DEN,DEN,Denbighshire,"Sir Ddinbych","Denbighshire County Council","Cyngor Sir Ddinbych",1996-04-01,
8,8,2017-07-06T15:55:39Z,CWY,CWY,Conwy,Conwy,"Conwy County Borough Council","Cyngor Bwrdeistref Sirol Conwy",1996-04-01,
7,7,2017-07-06T15:55:39Z,CRF,CRF,Cardiff,Caerdydd,"City of Cardiff Council","Cyngor Dinas Caerdydd",1996-04-01,
6,6,2017-07-06T15:55:39Z,CMN,CMN,Carmarthenshire,"Sir Gaerfyrddin","Carmarthenshire County Council","Cyngor Sir Gâr",1996-04-01,
5,5,2017-07-06T15:55:39Z,CGN,CGN,Ceredigion,Ceredigion,"Ceredigion County Council","Cyngor Sir Ceredigion",1996-04-01,
4,4,2017-07-06T15:55:39Z,CAY,CAY,Caerphilly,Caerffili,"Caerphilly County Borough Council","Cyngor Bwrdeistref Sirol Caerffili",1996-04-01,
3,3,2017-07-06T15:55:39Z,BGW,BGW,"Blaenau Gwent","Blaenau Gwent","Blaenau Gwent County Borough Council","Cyngor Bwrdeistref Sirol Blaenau Gwent",1996-04-01,
2,2,2017-07-06T15:55:39Z,BGE,BGE,Bridgend,"Pen-y-bont ar Ogwr","Bridgend County Borough Council","Cyngor Bwrdeistref Sirol Pen-y-bont ar Ogwr",1996-04-01,
1,1,2017-07-06T15:55:39Z,AGY,AGY,"Isle of Anglesey","Sir Ynys Môn","Isle of Anglesey County Council","Cyngor Sir Ynys Môn",1996-04-01,
