index-entry-number,entry-number,entry-timestamp,key,"statistical-geography-metropolitan-district-eng",local-authority-eng,start-date,end-date
37,37,2017-11-29T13:23:25Z,E08000016,E08000016,BNS,2009-01-01,
36,36,2017-11-29T13:23:25Z,E08000001,E08000001,BOL,2009-01-01,
35,35,2017-11-29T13:23:25Z,E08000032,E08000032,BRD,2009-01-01,
34,34,2017-11-29T13:23:25Z,E08000002,E08000002,BUR,2009-01-01,
33,33,2017-11-29T13:23:25Z,E08000033,E08000033,CLD,2009-01-01,
32,32,2017-11-29T13:23:25Z,E08000026,E08000026,COV,2009-01-01,
31,31,2017-11-29T13:23:25Z,E08000017,E08000017,DNC,2009-01-01,
30,30,2017-11-29T13:23:25Z,E08000027,E08000027,DUD,2009-01-01,
29,29,2017-11-29T13:23:25Z,E08000037,E08000037,GAT,2013-04-01,
28,28,2017-11-29T13:23:25Z,E08000020,E08000020,GAT,2009-01-01,2013-03-31
27,27,2017-11-29T13:23:25Z,E08000034,E08000034,KIR,2009-01-01,
26,26,2017-11-29T13:23:25Z,E08000011,E08000011,KWL,2009-01-01,
25,25,2017-11-29T13:23:25Z,E08000035,E08000035,LDS,2009-01-01,
24,24,2017-11-29T13:23:25Z,E08000012,E08000012,LIV,2009-01-01,
23,23,2017-11-29T13:23:25Z,E08000003,E08000003,MAN,2009-01-01,
22,22,2017-11-29T13:23:25Z,E08000021,E08000021,NET,2009-01-01,
21,21,2017-11-29T13:23:25Z,E08000022,E08000022,NTY,2009-01-01,
20,20,2017-11-29T13:23:25Z,E08000004,E08000004,OLD,2009-01-01,
19,19,2017-11-29T13:23:25Z,E08000005,E08000005,RCH,2009-01-01,
18,18,2017-11-29T13:23:25Z,E08000018,E08000018,ROT,2009-01-01,
17,17,2017-11-29T13:23:25Z,E08000028,E08000028,SAW,2009-01-01,
16,16,2017-11-29T13:23:25Z,E08000014,E08000014,SFT,2009-01-01,
15,15,2017-11-29T13:23:25Z,E08000019,E08000019,SHF,2009-01-01,
14,14,2017-11-29T13:23:25Z,E08000013,E08000013,SHN,2009-01-01,
13,13,2017-11-29T13:23:25Z,E08000007,E08000007,SKP,2009-01-01,
12,12,2017-11-29T13:23:25Z,E08000006,E08000006,SLF,2009-01-01,
11,11,2017-11-29T13:23:25Z,E08000024,E08000024,SND,2009-01-01,
10,10,2017-11-29T13:23:25Z,E08000029,E08000029,SOL,2009-01-01,
9,9,2017-11-29T13:23:25Z,E08000023,E08000023,STY,2009-01-01,
8,8,2017-11-29T13:23:25Z,E08000008,E08000008,TAM,2009-01-01,
7,7,2017-11-29T13:23:25Z,E08000009,E08000009,TRF,2009-01-01,
6,6,2017-11-29T13:23:25Z,E08000010,E08000010,WGN,2009-01-01,
5,5,2017-11-29T13:23:25Z,E08000036,E08000036,WKF,2009-01-01,
4,4,2017-11-29T13:23:25Z,E08000030,E08000030,WLL,2009-01-01,
3,3,2017-11-29T13:23:25Z,E08000031,E08000031,WLV,2009-01-01,
2,2,2017-11-29T13:23:25Z,E08000015,E08000015,WRL,2009-01-01,
1,1,2017-11-29T13:23:25Z,E08000025,E08000025,BIR,2009-01-01,
