index-entry-number,entry-number,entry-timestamp,key,local-authority-eng,local-authority-type,name,official-name,start-date,end-date
113,113,2016-10-21T16:11:20Z,DBY,DBY,CTY,Derbyshire,"Derbyshire County Council",,
112,112,2016-10-21T16:11:20Z,DER,DER,UA,Derby,"Derby City Council",,
111,111,2016-10-21T16:11:20Z,SLA,SLA,NMD,"South Lakeland","South Lakeland District Council",,
110,110,2016-10-21T16:11:20Z,EDN,EDN,NMD,Eden,"Eden District Council",,
109,109,2016-10-21T16:11:20Z,COP,COP,NMD,Copeland,"Copeland Borough Council",,
108,108,2016-10-21T16:11:20Z,CAR,CAR,NMD,Carlisle,"Carlisle City Council",,
107,107,2016-10-21T16:11:20Z,BAR,BAR,NMD,Barrow-in-Furness,"Barrow-in-Furness Borough Council",,
106,106,2016-10-21T16:11:20Z,ALL,ALL,NMD,Allerdale,"Allerdale Borough Council",,
105,105,2016-10-21T16:11:20Z,CMA,CMA,CTY,Cumbria,"Cumbria County Council",,
104,104,2016-10-21T16:11:20Z,SCA,SCA,NMD,"South Cambridgeshire","South Cambridgeshire District Council",,
103,103,2016-10-21T16:11:20Z,HUN,HUN,NMD,Huntingdonshire,"Huntingdonshire District Council",,
102,102,2016-10-21T16:11:20Z,FEN,FEN,NMD,Fenland,"Fenland District Council",,
101,101,2016-10-21T16:11:20Z,ECA,ECA,NMD,"East Cambridgeshire","East Cambridgeshire District Council",,
100,100,2016-10-21T16:11:20Z,CAB,CAB,NMD,Cambridge,"Cambridge City Council",,
99,99,2016-10-21T16:11:20Z,CAM,CAM,CTY,Cambridgeshire,"Cambridgeshire County Council",,
93,93,2016-10-21T16:11:20Z,YOR,YOR,UA,York,"City of York Council",1905-06-18,
92,92,2016-10-21T16:11:20Z,WRT,WRT,UA,Warrington,"Warrington Borough Council",1905-06-20,
91,91,2016-10-21T16:11:20Z,WRL,WRL,MD,Wirral,"Wirral Borough Council",1974-04-01,
90,90,2016-10-21T16:11:20Z,WOK,WOK,UA,Wokingham,"Wokingham Borough Council",1905-06-20,
89,89,2016-10-21T16:11:20Z,WNM,WNM,UA,"Windsor and Maidenhead","Royal Borough of Windsor and Maidenhead",1905-06-20,
88,88,2016-10-21T16:11:20Z,WLV,WLV,MD,Wolverhampton,"City of Wolverhampton Council",1974-04-01,
87,87,2016-10-21T16:11:20Z,WLL,WLL,MD,Walsall,"Walsall Metropolitan Borough Council",1974-04-01,
86,86,2016-10-21T16:11:20Z,WKF,WKF,MD,Wakefield,"Wakefield Metropolitan District Council",1974-04-01,
85,85,2016-10-21T16:11:20Z,WIL,WIL,UA,Wiltshire,"Wiltshire Council",2009-04-01,
84,84,2016-10-21T16:11:20Z,WGN,WGN,MD,Wigan,"Wigan Metropolitan Borough Council",1974-04-01,
83,83,2016-10-21T16:11:20Z,WBK,WBK,UA,"West Berkshire","West Berkshire Council",1905-06-20,
82,82,2016-10-21T16:11:20Z,TRF,TRF,MD,Trafford,"Trafford Metropolitan Borough Council",1974-04-01,
81,81,2016-10-21T16:11:20Z,TOB,TOB,UA,Torbay,"Torbay Council",1905-06-20,
80,80,2016-10-21T16:11:20Z,THR,THR,UA,Thurrock,"Thurrock Council",1905-06-20,
79,79,2016-10-21T16:11:20Z,TFW,TFW,UA,"Telford and Wrekin","Telford & Wrekin Council",1905-06-20,
