index-entry-number,entry-number,entry-timestamp,key,local-authority-eng,local-authority-type,name,official-name,start-date,end-date
327,327,2016-10-21T16:11:20Z,EST,EST,NMD,"East Staffordshire","East Staffordshire Borough Council",,
326,326,2016-10-21T16:11:20Z,CAN,CAN,NMD,"Cannock Chase","Cannock Chase District Council",,
325,325,2016-10-21T16:11:20Z,STS,STS,CTY,Staffordshire,"Staffordshire County Council",,
324,324,2016-10-21T16:11:20Z,WOI,WOI,NMD,Woking,"Woking Borough Council",,
323,323,2016-10-21T16:11:20Z,WAE,WAE,NMD,Waverley,"Waverley Borough Council",,
322,322,2016-10-21T16:11:20Z,TAN,TAN,NMD,Tandridge,"Tandridge District Council",,
321,321,2016-10-21T16:11:20Z,SUR,SUR,NMD,"Surrey Heath","Surrey Heath Borough Council",,
320,320,2016-10-21T16:11:20Z,SPE,SPE,NMD,Spelthorne,"Spelthorne Borough Council",,
319,319,2016-10-21T16:11:20Z,RUN,RUN,NMD,Runnymede,"Runnymede Borough Council",,
318,318,2016-10-21T16:11:20Z,REI,REI,NMD,"Reigate and Banstead","Reigate and Banstead Borough Council",,
317,317,2016-10-21T16:11:20Z,MOL,MOL,NMD,"Mole Valley","Mole Valley District Council",,
316,316,2016-10-21T16:11:20Z,GRT,GRT,NMD,Guildford,"Guildford Borough Council",,
315,315,2016-10-21T16:11:20Z,EPS,EPS,NMD,"Epsom and Ewell","Epsom and Ewell Borough Council",,
314,314,2016-10-21T16:11:20Z,ELM,ELM,NMD,Elmbridge,"Elmbridge Borough Council",,
313,313,2016-10-21T16:11:20Z,SRY,SRY,CTY,Surrey,"Surrey County Council",,
310,310,2016-10-21T16:11:20Z,SSO,SSO,NMD,"South Somerset","South Somerset District Council",,
309,309,2016-10-21T16:11:20Z,SEG,SEG,NMD,Sedgemoor,"Sedgemoor District Council",,
308,308,2016-10-21T16:11:20Z,MEN,MEN,NMD,Mendip,"Mendip District Council",,
307,307,2016-10-21T16:11:20Z,SOM,SOM,CTY,Somerset,"Somerset County Council",,
303,303,2016-10-21T16:11:20Z,MSU,MSU,NMD,"Mid Suffolk","Mid Suffolk District Council",,
302,302,2016-10-21T16:11:20Z,IPS,IPS,NMD,Ipswich,"Ipswich Borough Council",,
300,300,2016-10-21T16:11:20Z,BAB,BAB,NMD,Babergh,"Babergh District Council",,
299,299,2016-10-21T16:11:20Z,SFK,SFK,CTY,Suffolk,"Suffolk County Council",,
298,298,2016-10-21T16:11:20Z,WOX,WOX,NMD,"West Oxfordshire","West Oxfordshire District Council",,
297,297,2016-10-21T16:11:20Z,VAL,VAL,NMD,"Vale of White Horse","Vale of White Horse District Council",,
296,296,2016-10-21T16:11:20Z,SOX,SOX,NMD,"South Oxfordshire","South Oxfordshire District Council",,
295,295,2016-10-21T16:11:20Z,OXO,OXO,NMD,Oxford,"Oxford City Council",,
294,294,2016-10-21T16:11:20Z,CHR,CHR,NMD,Cherwell,"Cherwell District Council",,
293,293,2016-10-21T16:11:20Z,OXF,OXF,CTY,Oxfordshire,"Oxfordshire County Council",,
292,292,2016-10-21T16:11:20Z,SEL,SEL,NMD,Selby,"Selby District Council",,
291,291,2016-10-21T16:11:20Z,SCE,SCE,NMD,Scarborough,"Scarborough Borough Council",,
290,290,2016-10-21T16:11:20Z,RYE,RYE,NMD,Ryedale,"Ryedale District Council",,
289,289,2016-10-21T16:11:20Z,RIH,RIH,NMD,Richmondshire,"Richmondshire District Council",,
