index-entry-number,entry-number,entry-timestamp,key,"statistical-geography-county-eng",local-authority-eng,name,start-date,end-date
34,34,2017-11-28T14:44:17Z,E10000034,E10000034,WOR,,2009-01-01,
33,33,2017-11-28T14:44:17Z,E10000033,E10000033,WIL,,2009-01-01,2009-03-31
32,32,2017-11-28T14:44:17Z,E10000032,E10000032,WSX,,2009-01-01,
31,31,2017-11-28T14:44:17Z,E10000031,E10000031,WAR,,2009-01-01,
30,30,2017-11-28T14:44:17Z,E10000030,E10000030,SRY,,2009-01-01,
29,29,2017-11-28T14:44:17Z,E10000029,E10000029,SFK,,2009-01-01,
28,28,2017-11-28T14:44:17Z,E10000028,E10000028,STS,,2009-01-01,
27,27,2017-11-28T14:44:17Z,E10000027,E10000027,SOM,,2009-01-01,
26,26,2017-11-28T14:44:17Z,E10000026,E10000026,SHR,,2009-01-01,2009-03-31
25,25,2017-11-28T14:44:17Z,E10000025,E10000025,OXF,,2009-01-01,
24,24,2017-11-28T14:44:17Z,E10000024,E10000024,NTT,,2009-01-01,
23,23,2017-11-28T14:44:17Z,E10000023,E10000023,NYK,,2009-01-01,
22,22,2017-11-28T14:44:17Z,E10000022,E10000022,NBL,,2009-01-01,2009-03-31
21,21,2017-11-28T14:44:17Z,E10000021,E10000021,NTH,,2009-01-01,
20,20,2017-11-28T14:44:17Z,E10000020,E10000020,NFK,,2009-01-01,
19,19,2017-11-28T14:44:17Z,E10000019,E10000019,LIN,,2009-01-01,
18,18,2017-11-28T14:44:17Z,E10000018,E10000018,LEC,,2009-01-01,
17,17,2017-11-28T14:44:17Z,E10000017,E10000017,LAN,,2009-01-01,
16,16,2017-11-28T14:44:17Z,E10000016,E10000016,KEN,,2009-01-01,
15,15,2017-11-28T14:44:17Z,E10000015,E10000015,HRT,,2009-01-01,
14,14,2017-11-28T14:44:17Z,E10000014,E10000014,HAM,,2009-01-01,
13,13,2017-11-28T14:44:17Z,E10000013,E10000013,GLS,,2009-01-01,
12,12,2017-11-28T14:44:17Z,E10000012,E10000012,ESS,,2009-01-01,
11,11,2017-11-28T14:44:17Z,E10000011,E10000011,ESX,,2009-01-01,
10,10,2017-11-28T14:44:17Z,E10000010,E10000010,,Durham,2009-01-01,2009-03-31
9,9,2017-11-28T14:44:17Z,E10000009,E10000009,DOR,,2009-01-01,
8,8,2017-11-28T14:44:17Z,E10000008,E10000008,DEV,,2009-01-01,
7,7,2017-11-28T14:44:17Z,E10000007,E10000007,DBY,,2009-01-01,
6,6,2017-11-28T14:44:17Z,E10000006,E10000006,CMA,,2009-01-01,
5,5,2017-11-28T14:44:17Z,E10000005,E10000005,,"Cornwall and Isles of Scilly",2009-01-01,2009-03-31
4,4,2017-11-28T14:44:17Z,E10000004,E10000004,,Cheshire,2009-01-01,2009-03-31
3,3,2017-11-28T14:44:17Z,E10000003,E10000003,CAM,,2009-01-01,
2,2,2017-11-28T14:44:17Z,E10000002,E10000002,BKM,,2009-01-01,
1,1,2017-11-28T14:44:17Z,E10000001,E10000001,,Bedfordshire,2009-01-01,2009-03-31
