index-entry-number,entry-number,entry-timestamp,key,government-domain,hostname,organisation,start-date,end-date
3338,3338,2018-10-15T12:55:36Z,14377,14377,fernhurst-wsx-pc,local-authority-eng:CHI,2002-11-29,
3337,3337,2018-10-15T12:51:09Z,18236,18236,dorsetcouncil,local-authority-eng:WDO,2018-07-26,
3336,3336,2018-10-15T12:49:43Z,18171,18171,jointairqualityunit,"government-organisation:D7",2018-07-04,
3335,3335,2018-10-15T12:47:59Z,18112,18112,traderemedies,"government-organisation:D1196",2018-06-04,
3334,3334,2018-10-15T12:47:18Z,18088,18088,localdigital,"government-organisation:D4",2018-05-29,
3333,3333,2018-10-15T12:46:26Z,18063,18063,DHSC,"government-organisation:D12",2018-05-17,
3332,3332,2018-10-15T12:45:27Z,18057,18057,socialmobilitycommission,"government-organisation:PB1193",2018-05-15,
3331,3331,2018-10-15T12:44:10Z,17967,17967,southderbyshire,local-authority-eng:SDE,2018-04-19,
3330,3330,2018-10-15T12:43:18Z,17956,17956,ukcoordinatingbody,"government-organisation:D7",2018-03-22,
3329,3329,2018-10-15T12:42:20Z,17894,17894,apha,"government-organisation:D7",2018-03-07,
3328,3328,2018-10-15T12:41:22Z,17883,17883,vosa,"government-organisation:EA570",2018-02-27,
3327,3327,2018-10-15T12:40:34Z,17867,17867,mhclg,"government-organisation:D4",2018-02-21,
3326,3326,2018-10-15T12:39:44Z,17838,17838,folkestone-hythe,local-authority-eng:SHE,2018-02-20,
3325,3325,2018-10-15T12:38:35Z,17817,17817,eastsussexcc,local-authority-eng:ESX,2002-02-11,
3324,3324,2018-10-15T10:44:36Z,17360,17360,rsh,"government-organisation:PB161",2017-05-12,
3323,3323,2018-10-15T10:41:51Z,15833,15833,armaghbanbridgecraigavon,local-authority-nir:ABC,2015-03-18,
3322,3322,2018-10-15T10:40:38Z,15771,15771,ardsandnorthdown,local-authority-nir:AND,2015-02-13,
3321,3321,2018-10-15T10:34:43Z,15215,15215,causewaycoastandglens,local-authority-nir:CCG,2014-02-26,
3320,3320,2018-10-15T10:33:05Z,15008,15008,antrimandnewtownabbey,local-authority-nir:ANN,2013-11-25,
3319,3319,2018-10-15T10:32:09Z,14788,14788,localgovernmentjobsni,local-authority-nir:AND,2013-07-26,
3318,3318,2018-10-15T10:19:33Z,13170,13170,newtownabbey,local-authority-nir:ANN,2011-04-06,
3317,3317,2018-10-15T10:16:11Z,12225,12225,lisburncastlereagh,local-authority-nir:LBC,2009-11-17,
3316,3316,2018-10-15T10:16:00Z,12077,12077,"lisburncityandcastlereagh",local-authority-nir:LBC,2009-09-22,
3315,3315,2018-10-15T10:14:50Z,11672,11672,cheshiresharedservices,local-authority-eng:CHE,2009-03-18,
3314,3314,2018-10-15T09:28:00Z,5757,5757,limavady,local-authority-nir:CCG,1999-09-28,
3313,3313,2018-10-11T21:01:26Z,5169,5169,gmwda,local-authority-eng:GMCA,2004-02-12,
3312,3312,2018-10-11T20:58:29Z,4778,4778,dungannon,local-authority-nir:MUL,2003-02-17,
3311,3311,2018-10-11T20:57:37Z,4745,4745,downdc,local-authority-nir:NMD,2000-06-21,
3310,3310,2018-10-11T20:53:38Z,4432,4432,colerainebc,local-authority-nir:CCG,1999-10-28,
3309,3309,2018-10-11T20:47:45Z,3932,3932,ayrshire-jsu,local-authority-sct:SAY,,
3308,3308,2018-10-03T16:07:08Z,3863,3863,antrim,local-authority-nir:ANN,2001-05-16,
3307,3307,2018-10-03T15:29:30Z,15496,15496,"blackbirdleysparishcouncil",,2014-09-01,2018-09-24
3306,3306,2018-10-03T15:29:07Z,7225,7225,teesvalleyunlimited,local-authority-eng:STT,2007-06-22,2018-07-17
3305,3305,2018-10-03T15:27:18Z,18311,18311,stgermansparishcouncil,,2018-09-13,
3304,3304,2018-10-03T15:27:01Z,18303,18303,horden-pc,,2018-09-06,
3303,3303,2018-10-03T15:26:34Z,18300,18300,northyorkshire-pfcc,,2018-09-05,
3302,3302,2018-10-03T15:25:53Z,18298,18298,officeforai,"government-organisation:D2",2018-09-05,
3301,3301,2018-10-03T15:24:53Z,18292,18292,harting-pc,,2018-08-31,
3300,3300,2018-10-03T15:24:20Z,17780,17780,goringparishcouncil,,2018-01-08,
3299,3299,2018-10-03T15:23:45Z,18151,18151,driffieldtowncouncil,,2018-06-21,
3298,3298,2018-09-28T10:19:39Z,18284,18284,abbottsann-pc,,2018-08-29,
3297,3297,2018-09-28T10:19:17Z,18283,18283,chilternandsouthbucks,local-authority-eng:CHN,2018-08-23,
3296,3296,2018-09-28T10:18:25Z,18281,18281,"lyntonandlynmouthtowncouncil",,2018-08-28,
3295,3295,2018-09-28T10:18:00Z,18273,18273,bowbrickhill-pc,,2018-08-16,
3294,3294,2018-09-28T10:17:25Z,18272,18272,machynlleth-tc,,2018-08-16,
3293,3293,2018-09-28T10:17:05Z,18270,18270,framptoncotterell-pc,,2018-08-15,
