index-entry-number,entry-number,entry-timestamp,key,"statistical-geography-unitary-authority-eng",local-authority-eng,start-date,end-date
57,57,2017-12-01T14:29:56Z,E06000055,E06000055,BDF,2009-04-01,
56,56,2017-12-01T14:29:56Z,E06000028,E06000028,BMH,2009-01-01,
55,55,2017-12-01T14:29:56Z,E06000023,E06000023,BST,2009-01-01,
54,54,2017-12-01T14:29:56Z,E06000022,E06000022,BAS,2009-01-01,
53,53,2017-12-01T14:29:56Z,E06000019,E06000019,HEF,2009-01-01,
52,52,2017-12-01T14:29:56Z,E06000010,E06000010,KHL,2009-01-01,
51,51,2017-12-01T14:29:56Z,E06000008,E06000008,BBD,2009-01-01,
50,50,2017-12-01T14:29:56Z,E06000043,E06000043,BNH,2009-01-01,
49,49,2017-12-01T14:29:56Z,E06000009,E06000009,BPL,2009-01-01,
48,48,2017-12-01T14:29:56Z,E06000036,E06000036,BRC,2009-01-01,
47,47,2017-12-01T14:29:56Z,E06000056,E06000056,CBF,2009-04-01,
46,46,2017-12-01T14:29:56Z,E06000049,E06000049,CHE,2009-04-01,
45,45,2017-12-01T14:29:56Z,E06000050,E06000050,CHW,2009-04-01,
44,44,2017-12-01T14:29:56Z,E06000052,E06000052,CON,2009-04-01,
43,43,2017-12-01T14:29:56Z,E06000005,E06000005,DAL,2009-01-01,
42,42,2017-12-01T14:29:56Z,E06000047,E06000047,DUR,2009-04-01,
41,41,2017-12-01T14:29:56Z,E06000011,E06000011,ERY,2009-01-01,
40,40,2017-12-01T14:29:56Z,E06000006,E06000006,HAL,2009-01-01,
39,39,2017-12-01T14:29:56Z,E06000001,E06000001,HPL,2009-01-01,
38,38,2017-12-01T14:29:56Z,E06000053,E06000053,IOS,2009-04-01,
37,37,2017-12-01T14:29:56Z,E06000046,E06000046,IOW,2009-01-01,
36,36,2017-12-01T14:29:56Z,E06000016,E06000016,LCE,2009-01-01,
35,35,2017-12-01T14:29:56Z,E06000032,E06000032,LUT,2009-01-01,
34,34,2017-12-01T14:29:56Z,E06000002,E06000002,MDB,2009-01-01,
33,33,2017-12-01T14:29:56Z,E06000035,E06000035,MDW,2009-01-01,
32,32,2017-12-01T14:29:56Z,E06000042,E06000042,MIK,2009-01-01,
31,31,2017-12-01T14:29:56Z,E06000057,E06000057,NBL,2013-04-01,
30,30,2017-12-01T14:29:56Z,E06000048,E06000048,NBL,2009-04-01,2013-03-31
29,29,2017-12-01T14:29:56Z,E06000012,E06000012,NEL,2009-01-01,
28,28,2017-12-01T14:29:56Z,E06000018,E06000018,NGM,2009-01-01,
27,27,2017-12-01T14:29:56Z,E06000013,E06000013,NLN,2009-01-01,
26,26,2017-12-01T14:29:56Z,E06000024,E06000024,NSM,2009-01-01,
25,25,2017-12-01T14:29:56Z,E06000026,E06000026,PLY,2009-01-01,
24,24,2017-12-01T14:29:56Z,E06000029,E06000029,POL,2009-01-01,
23,23,2017-12-01T14:29:56Z,E06000044,E06000044,POR,2009-01-01,
22,22,2017-12-01T14:29:56Z,E06000031,E06000031,PTE,2009-01-01,
21,21,2017-12-01T14:29:56Z,E06000003,E06000003,RCC,2009-01-01,
20,20,2017-12-01T14:29:56Z,E06000038,E06000038,RDG,2009-01-01,
19,19,2017-12-01T14:29:56Z,E06000017,E06000017,RUT,2009-01-01,
18,18,2017-12-01T14:29:56Z,E06000025,E06000025,SGC,2009-01-01,
17,17,2017-12-01T14:29:56Z,E06000051,E06000051,SHR,2009-04-01,
16,16,2017-12-01T14:29:56Z,E06000039,E06000039,SLG,2009-01-01,
15,15,2017-12-01T14:29:56Z,E06000033,E06000033,SOS,2009-01-01,
14,14,2017-12-01T14:29:56Z,E06000021,E06000021,STE,2009-01-01,
13,13,2017-12-01T14:29:56Z,E06000045,E06000045,STH,2009-01-01,
12,12,2017-12-01T14:29:56Z,E06000004,E06000004,STT,2009-01-01,
11,11,2017-12-01T14:29:56Z,E06000030,E06000030,SWD,2009-01-01,
10,10,2017-12-01T14:29:56Z,E06000020,E06000020,TFW,2009-01-01,
9,9,2017-12-01T14:29:56Z,E06000034,E06000034,THR,2009-01-01,
8,8,2017-12-01T14:29:56Z,E06000027,E06000027,TOB,2009-01-01,
7,7,2017-12-01T14:29:56Z,E06000037,E06000037,WBK,2009-01-01,
6,6,2017-12-01T14:29:56Z,E06000054,E06000054,WIL,2009-04-01,
5,5,2017-12-01T14:29:56Z,E06000040,E06000040,WNM,2009-01-01,
4,4,2017-12-01T14:29:56Z,E06000041,E06000041,WOK,2009-01-01,
3,3,2017-12-01T14:29:56Z,E06000007,E06000007,WRT,2009-01-01,
2,2,2017-12-01T14:29:56Z,E06000014,E06000014,YOR,2009-01-01,
1,1,2017-12-01T14:29:56Z,E06000015,E06000015,DER,2009-01-01,
