index-entry-number,entry-number,entry-timestamp,key,local-authority-sct,local-authority-type,name,official-name,start-date,end-date
33,33,2017-10-12T14:38:48Z,ELS,ELS,CA,"Na h-Eileanan an Iar","Comhairle nan Eilean Siar",1996-04-01,
32,32,2017-03-07T22:44:56Z,ZET,ZET,CA,"Shetland Islands","Shetland Islands Council",1996-04-01,
31,31,2017-03-07T22:44:56Z,WLN,WLN,CA,"West Lothian","The West Lothian Council",1996-04-01,
30,30,2017-03-07T22:44:56Z,WDU,WDU,CA,"West Dunbartonshire","The West Dunbartonshire Council",1996-04-01,
29,29,2017-03-07T22:44:56Z,STG,STG,CA,Stirling,"The Stirling Council",1996-04-01,
28,28,2017-03-07T22:44:56Z,SLK,SLK,CA,"South Lanarkshire","The South Lanarkshire Council",1996-04-01,
27,27,2017-03-07T22:44:56Z,SCB,SCB,CA,"Scottish Borders","The Scottish Borders Council",1996-04-01,
26,26,2017-03-07T22:44:56Z,SAY,SAY,CA,"South Ayrshire","The South Ayrshire Council",1996-04-01,
25,25,2017-03-07T22:44:56Z,RFW,RFW,CA,Renfrewshire,"The Renfrewshire Council",1996-04-01,
24,24,2017-03-07T22:44:56Z,PKN,PKN,CA,"Perth and Kinross","The Perth and Kinross Council",1996-04-01,
23,23,2017-03-07T22:44:56Z,ORK,ORK,CA,"Orkney Islands","Orkney Islands Council",1996-04-01,
22,22,2017-03-07T22:44:56Z,NLK,NLK,CA,"North Lanarkshire","The North Lanarkshire Council",1996-04-01,
21,21,2017-03-07T22:44:56Z,NAY,NAY,CA,"North Ayrshire","The North Ayrshire Council",1996-04-01,
20,20,2017-03-07T22:44:56Z,MRY,MRY,CA,Moray,"The Moray Council",1996-04-01,
19,19,2017-03-07T22:44:56Z,MLN,MLN,CA,Midlothian,"The Midlothian Council",1996-04-01,
18,18,2017-03-07T22:44:56Z,IVC,IVC,CA,Inverclyde,"The Inverclyde Council",1996-04-01,
17,17,2017-03-07T22:44:56Z,HLD,HLD,CA,Highland,"The Highland Council",1996-04-01,
16,16,2017-03-07T22:44:56Z,GLG,GLG,CA,"Glasgow City","The Glasgow City Council",1996-04-01,
15,15,2017-03-07T22:44:56Z,FIF,FIF,CA,Fife,"The Fife Council",1996-04-01,
14,14,2017-03-07T22:44:56Z,FAL,FAL,CA,Falkirk,"The Falkirk Council",1996-04-01,
13,13,2017-03-07T22:44:56Z,ERW,ERW,CA,"East Renfrewshire","The East Renfrewshire Council",1996-04-01,
11,11,2017-03-07T22:44:56Z,ELN,ELN,CA,"East Lothian","The East Lothian Council",1996-04-01,
10,10,2017-03-07T22:44:56Z,EDU,EDU,CA,"East Dunbartonshire","The East Dunbartonshire Council",1996-04-01,
9,9,2017-03-07T22:44:56Z,EDH,EDH,CA,Edinburgh,"The City of Edinburgh Council",1996-04-01,
8,8,2017-03-07T22:44:56Z,EAY,EAY,CA,"East Ayrshire","The East Ayrshire Council",1996-04-01,
7,7,2017-03-07T22:44:56Z,DND,DND,CA,"Dundee City","The Dundee City Council",1996-04-01,
6,6,2017-03-07T22:44:56Z,DGY,DGY,CA,"Dumfries and Galloway","The Dumfries and Galloway Council",1996-04-01,
5,5,2017-03-07T22:44:56Z,CLK,CLK,CA,Clackmannanshire,"The Clackmannanshire Council",1996-04-01,
4,4,2017-03-07T22:44:56Z,ANS,ANS,CA,Angus,"The Angus Council",1996-04-01,
3,3,2017-03-07T22:44:56Z,AGB,AGB,CA,"Argyll and Bute","The Argyll and Bute Council",1996-04-01,
2,2,2017-03-07T22:44:56Z,ABE,ABE,CA,"Aberdeen City","The Aberdeen City Council",1996-04-01,
1,1,2017-03-07T22:44:56Z,ABD,ABD,CA,Aberdeenshire,"The Aberdeenshire Council",1996-04-01,
