index-entry-number,entry-number,entry-timestamp,key,"statistical-geography-non-metropolitan-district-eng",local-authority-eng,name,start-date,end-date
243,243,2017-12-04T13:24:08Z,E07000233,E07000233,,"West Wiltshire",2009-01-01,2009-03-31
242,242,2017-12-04T13:24:08Z,E07000232,E07000232,,Salisbury,2009-01-01,2009-03-31
241,241,2017-12-04T13:24:08Z,E07000231,E07000231,,"North Wiltshire",2009-01-01,2009-03-31
240,240,2017-12-04T13:24:08Z,E07000230,E07000230,,Kennet,2009-01-01,2009-03-31
239,239,2017-12-04T13:24:08Z,E07000186,E07000186,,"South Shropshire",2009-01-01,2009-03-31
238,238,2017-12-04T13:24:08Z,E07000185,E07000185,,"Shrewsbury and Atcham",2009-01-01,2009-03-31
237,237,2017-12-04T13:24:08Z,E07000184,E07000184,,Oswestry,2009-01-01,2009-03-31
236,236,2017-12-04T13:24:08Z,E07000183,E07000183,,"North Shropshire",2009-01-01,2009-03-31
235,235,2017-12-04T13:24:08Z,E07000182,E07000182,,Bridgnorth,2009-01-01,2009-03-31
234,234,2017-12-04T13:24:08Z,E07000162,E07000162,,Wansbeck,2009-01-01,2009-03-31
233,233,2017-12-04T13:24:08Z,E07000161,E07000161,,Tynedale,2009-01-01,2009-03-31
232,232,2017-12-04T13:24:08Z,E07000160,E07000160,,"Castle Morpeth",2009-01-01,2009-03-31
231,231,2017-12-04T13:24:08Z,E07000159,E07000159,,"Blyth Valley",2009-01-01,2009-03-31
230,230,2017-12-04T13:24:08Z,E07000158,E07000158,,Berwick-upon-Tweed,2009-01-01,2009-03-31
229,229,2017-12-04T13:24:08Z,E07000157,E07000157,,Alnwick,2009-01-01,2009-03-31
228,228,2017-12-04T13:24:08Z,E07000138,E07000138,LIC,,2009-01-01,
227,227,2017-12-04T13:24:08Z,E07000060,E07000060,,"Wear Valley",2009-01-01,2009-03-31
226,226,2017-12-04T13:24:08Z,E07000059,E07000059,,Teesdale,2009-01-01,2009-03-31
225,225,2017-12-04T13:24:08Z,E07000058,E07000058,,Sedgefield,2009-01-01,2009-03-31
224,224,2017-12-04T13:24:08Z,E07000057,E07000057,,Easington,2009-01-01,2009-03-31
223,223,2017-12-04T13:24:08Z,E07000056,E07000056,,Durham,2009-01-01,2009-03-31
222,222,2017-12-04T13:24:08Z,E07000055,E07000055,,Derwentside,2009-01-01,2009-03-31
221,221,2017-12-04T13:24:08Z,E07000054,E07000054,,Chester-le-Street,2009-01-01,2009-03-31
220,220,2017-12-04T13:24:08Z,E07000024,E07000024,,Restormel,2009-01-01,2009-03-31
219,219,2017-12-04T13:24:08Z,E07000023,E07000023,,Penwith,2009-01-01,2009-03-31
218,218,2017-12-04T13:24:08Z,E07000022,E07000022,,"North Cornwall",2009-01-01,2009-03-31
217,217,2017-12-04T13:24:08Z,E07000021,E07000021,,Kerrier,2009-01-01,2009-03-31
216,216,2017-12-04T13:24:08Z,E07000020,E07000020,,Carrick,2009-01-01,2009-03-31
215,215,2017-12-04T13:24:08Z,E07000019,E07000019,,Caradon,2009-01-01,2009-03-31
214,214,2017-12-04T13:24:08Z,E07000018,E07000018,,"Vale Royal",2009-01-01,2009-03-31
213,213,2017-12-04T13:24:08Z,E07000017,E07000017,,Macclesfield,2009-01-01,2009-03-31
212,212,2017-12-04T13:24:08Z,E07000016,E07000016,,"Ellesmere Port & Neston",2009-01-01,2009-03-31
