tag,name,plural
government-organisation,"Government Organisation","Government departments, agencies and public bodies"
local-authority-eng,"Local Authority","Local Authorities"
development-corporation,"Development Corporation","Development Corporations"
national-park-authority,"National Park","National Park Authorities, including the Broads"
regional-park-authority,"Regional Park Authority","Regional Park Authorities"
waste-authority,"Waste Authority","Waste Authorities"
