statistical-geography,boundary
E06000039,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000039/index.geojson
E06000040,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000040/index.geojson
E06000041,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000041/index.geojson
E06000042,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000042/index.geojson
E06000043,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000043/index.geojson
E06000044,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000044/index.geojson
E06000045,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000045/index.geojson
E06000046,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000046/index.geojson
E06000047,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000047/index.geojson
E06000049,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000049/index.geojson
E06000050,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000050/index.geojson
E06000051,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000051/index.geojson
E06000052,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000052/index.geojson
E06000053,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000053/index.geojson
E06000054,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000054/index.geojson
E06000055,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000055/index.geojson
E06000056,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000056/index.geojson
E06000057,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000057/index.geojson
E06000058,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000058/index.geojson
E06000059,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E06000059/index.geojson
E07000004,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000004/index.geojson
E07000005,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000005/index.geojson
E07000006,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000006/index.geojson
E07000007,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000007/index.geojson
E07000008,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000008/index.geojson
E07000009,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000009/index.geojson
E07000010,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000010/index.geojson
E07000011,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000011/index.geojson
E07000012,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000012/index.geojson
E07000026,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000026/index.geojson
E07000027,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000027/index.geojson
E07000028,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000028/index.geojson
E07000029,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000029/index.geojson
E07000030,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000030/index.geojson
E07000031,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000031/index.geojson
E07000032,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000032/index.geojson
E07000033,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000033/index.geojson
E07000034,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000034/index.geojson
E07000035,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000035/index.geojson
E07000036,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000036/index.geojson
E07000037,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000037/index.geojson
E07000038,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000038/index.geojson
E07000039,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000039/index.geojson
