organisation,region
local-authority-eng:YOR,yorkshire-and-the-humber
local-authority-eng:DER,east-midlands
local-authority-eng:LCE,east-midlands
local-authority-eng:RUT,east-midlands
local-authority-eng:NGM,east-midlands
local-authority-eng:HEF,west-midlands
local-authority-eng:TFW,west-midlands
local-authority-eng:SHR,west-midlands
local-authority-eng:STE,west-midlands
local-authority-eng:BAS,south-west
local-authority-eng:BST,south-west
local-authority-eng:NSM,south-west
local-authority-eng:SGC,south-west
local-authority-eng:CON,south-west
local-authority-eng:IOS,south-west
local-authority-eng:ROH,south-east
local-authority-eng:PLY,south-west
local-authority-eng:TOB,south-west
local-authority-eng:BPC,south-west
local-authority-eng:DST,south-west
local-authority-eng:SWD,south-west
local-authority-eng:WEA,south-east
local-authority-eng:BAI,east-of-england
local-authority-eng:BRA,east-of-england
local-authority-eng:BRW,east-of-england
local-authority-eng:CAS,east-of-england
local-authority-eng:CHL,east-of-england
local-authority-eng:COL,east-of-england
local-authority-eng:EPP,east-of-england
local-authority-eng:HAR,east-of-england
local-authority-eng:MAL,east-of-england
local-authority-eng:ROC,east-of-england
local-authority-eng:TEN,east-of-england
local-authority-eng:UTT,east-of-england
local-authority-eng:CHT,south-west
local-authority-eng:COT,south-west
local-authority-eng:FOE,south-west
local-authority-eng:GLO,south-west
local-authority-eng:STO,south-west
local-authority-eng:TEW,south-west
local-authority-eng:BAN,south-east
local-authority-eng:EHA,south-east
local-authority-eng:EAT,south-east
local-authority-eng:FAR,south-east
local-authority-eng:GOS,south-east
local-authority-eng:HAT,south-east
local-authority-eng:HAA,south-east
local-authority-eng:NEW,south-east
local-authority-eng:RUH,south-east
local-authority-eng:TES,south-east
local-authority-eng:WIN,south-east
local-authority-eng:BRX,east-of-england
local-authority-eng:DAC,east-of-england
local-authority-eng:EHE,east-of-england
local-authority-eng:HER,east-of-england
local-authority-eng:NHE,east-of-england
local-authority-eng:SAL,east-of-england
local-authority-eng:STV,east-of-england
local-authority-eng:THE,east-of-england
local-authority-eng:WAT,east-of-england
local-authority-eng:WEW,east-of-england
local-authority-eng:ASF,south-east
local-authority-eng:CAT,south-east
local-authority-eng:DAR,south-east
local-authority-eng:DOV,south-east
local-authority-eng:GRA,south-east
local-authority-eng:MAI,south-east
local-authority-eng:SEV,south-east
local-authority-eng:SHE,south-east
local-authority-eng:SWL,south-east
local-authority-eng:THA,south-east
local-authority-eng:TON,south-east
local-authority-eng:TUN,south-east
local-authority-eng:BUN,north-west
local-authority-eng:CHO,north-west
local-authority-eng:FYL,north-west
local-authority-eng:HYN,north-west
local-authority-eng:LAC,north-west
local-authority-eng:PEN,north-west
local-authority-eng:PRE,north-west
local-authority-eng:RIB,north-west
local-authority-eng:ROS,north-west
local-authority-eng:SRI,north-west
local-authority-eng:WLA,north-west
local-authority-eng:WYR,north-west
local-authority-eng:BLA,east-midlands
local-authority-eng:CHA,east-midlands
local-authority-eng:HAO,east-midlands
local-authority-eng:HIN,east-midlands
local-authority-eng:MEL,east-midlands
local-authority-eng:NWL,east-midlands
local-authority-eng:OAD,east-midlands
local-authority-eng:BOT,east-midlands
local-authority-eng:ELI,east-midlands
local-authority-eng:LIC,east-midlands
local-authority-eng:NKE,east-midlands
local-authority-eng:SHO,east-midlands
local-authority-eng:SKE,east-midlands
local-authority-eng:WLI,east-midlands
local-authority-eng:BRE,east-of-england
local-authority-eng:BRO,east-of-england
local-authority-eng:GRY,east-of-england
local-authority-eng:KIN,east-of-england
local-authority-eng:NNO,east-of-england
local-authority-eng:NOW,east-of-england
local-authority-eng:SNO,east-of-england
local-authority-eng:COR,east-midlands
local-authority-eng:DAV,east-midlands
local-authority-eng:ENO,east-midlands
local-authority-eng:KET,east-midlands
local-authority-eng:NOR,east-midlands
local-authority-eng:SNR,east-midlands
local-authority-eng:WEL,east-midlands
local-authority-eng:CRA,yorkshire-and-the-humber
local-authority-eng:HAE,yorkshire-and-the-humber
local-authority-eng:HAG,yorkshire-and-the-humber
local-authority-eng:RIH,yorkshire-and-the-humber
local-authority-eng:RYE,yorkshire-and-the-humber
local-authority-eng:SCE,yorkshire-and-the-humber
local-authority-eng:SEL,yorkshire-and-the-humber
local-authority-eng:ASH,east-midlands
local-authority-eng:BAE,east-midlands
local-authority-eng:BRT,east-midlands
local-authority-eng:GED,east-midlands
local-authority-eng:MAS,east-midlands
local-authority-eng:NEA,east-midlands
local-authority-eng:BKM,south-east
local-authority-eng:CAM,east-of-england
local-authority-eng:CMA,north-west
local-authority-eng:DBY,east-midlands
local-authority-eng:DEV,south-west
local-authority-eng:DOR,south-west
local-authority-eng:ESS,east-of-england
local-authority-eng:ESX,south-east
local-authority-eng:GLS,south-west
local-authority-eng:HAM,south-east
local-authority-eng:HRT,east-of-england
local-authority-eng:KEN,south-east
local-authority-eng:LAN,north-west
local-authority-eng:LCR,north-west
local-authority-eng:LEC,east-midlands
local-authority-eng:LIN,east-midlands
local-authority-eng:NFK,east-of-england
local-authority-eng:NTH,east-midlands
local-authority-eng:NTT,east-midlands
local-authority-eng:NYK,yorkshire-and-the-humber
local-authority-eng:OXF,south-east
local-authority-eng:SFK,east-of-england
local-authority-eng:SOM,south-west
local-authority-eng:SRY,south-east
local-authority-eng:STS,west-midlands
local-authority-eng:WAR,west-midlands
local-authority-eng:WOR,west-midlands
local-authority-eng:WSX,south-east
