organisation,statistical-geography
local-authority-eng:NEW,E07000091
local-authority-eng:NEA,E07000175
local-authority-eng:NEC,E07000195
local-authority-eng:NET,E08000021
local-authority-eng:NFK,
local-authority-eng:NDE	,
local-authority-eng:NDO,
local-authority-eng:NED,E07000038
local-authority-eng:NEL,E06000012
local-authority-eng:NHE,
local-authority-eng:NKE,E07000139
local-authority-eng:NLN,E06000013
local-authority-eng:NNO,
local-authority-eng:NSM,E06000024
local-authority-eng:NTY,E08000022
local-authority-eng:NWA,E07000218
local-authority-eng:NWL,E07000134
local-authority-eng:NYK,
local-authority-eng:NOR,E07000154
local-authority-eng:NTH,
local-authority-eng:NBL,E06000057
local-authority-eng:NOW,E07000148
local-authority-eng:NGM,E06000018
local-authority-eng:NTT,
local-authority-eng:NUN,E07000219
local-authority-eng:OAD,E07000135
local-authority-eng:OLD,E08000004
local-authority-eng:OXO,E07000178
local-authority-eng:OXF,
local-authority-eng:PEN,E07000122
local-authority-eng:PTE,E06000031
local-authority-eng:PLY,E06000026
local-authority-eng:POR,E06000044
local-authority-eng:PRE,E07000123
local-authority-eng:PUR,E07000051
local-authority-eng:RDG,E06000038
local-authority-eng:RCC,E06000003
local-authority-eng:RED,E07000236
local-authority-eng:REI,E07000211
local-authority-eng:RIB,E07000124
local-authority-eng:RIH,E07000166
local-authority-eng:RCH,E08000005
local-authority-eng:ROC,E07000075
local-authority-eng:ROS,E07000125
local-authority-eng:ROH,E07000064
local-authority-eng:ROT,E08000018
local-authority-eng:GRE,E09000011
local-authority-eng:KEC,E09000020
local-authority-eng:KTT,E09000021
local-authority-eng:WNM,E06000040
local-authority-eng:RUG,E07000220
local-authority-eng:RUN,E07000212
local-authority-eng:RUS,E07000176
local-authority-eng:RUH,E07000092
local-authority-eng:RUT,E06000017
local-authority-eng:RYE,E07000167
local-authority-eng:SLF,E08000006
local-authority-eng:SAW,E08000028
local-authority-eng:SCE,E07000168
local-authority-eng:SEG,E07000188
local-authority-eng:SFT,E08000014
local-authority-eng:SEL,E07000169
local-authority-eng:SEV,E07000111
local-authority-eng:SHF,E08000019
local-authority-eng:SHE,
local-authority-eng:SHR,E06000051
local-authority-eng:SLG,E06000039
local-authority-eng:SOL,E08000029
local-authority-eng:SOM,
local-authority-eng:SBU,E07000006
local-authority-eng:SCA,E07000012
local-authority-eng:SDE,E07000039
local-authority-eng:SGC,E06000025
local-authority-eng:SHA,E07000044
local-authority-eng:SHO,E07000140
local-authority-eng:SKE,E07000141
local-authority-eng:SLA,E07000031
local-authority-eng:SNO,E07000149
local-authority-eng:SNR,E07000155
local-authority-eng:SOX,E07000179
local-authority-eng:SRI,E07000126
local-authority-eng:SSO,E07000189
local-authority-eng:SST,E07000196
local-authority-eng:STY,E08000023
local-authority-eng:STH,E06000045
local-authority-eng:SOS,E06000033
local-authority-eng:SPE,E07000213
local-authority-eng:SAL,E07000240
local-authority-eng:SED,E07000204
local-authority-eng:SHN,E08000013
local-authority-eng:STA,E07000197
local-authority-eng:STS,
local-authority-eng:STF,E07000198
local-authority-eng:STV,E07000243
local-authority-eng:SKP,E08000007
local-authority-eng:STT,E06000004
local-authority-eng:STE,E07000195
local-authority-eng:STR,E07000221
local-authority-eng:STO,E07000082
local-authority-eng:SUF,E07000205
local-authority-eng:SFK,
local-authority-eng:SND,E08000024
local-authority-eng:SRY,
local-authority-eng:SUR,E07000214
local-authority-eng:SWL,E07000113
local-authority-eng:SWD,E06000030
local-authority-eng:TAM,E08000008
local-authority-eng:TAW,E07000199
local-authority-eng:TAN,E07000215
local-authority-eng:TAU,E07000190
local-authority-eng:TEI,E07000045
local-authority-eng:TFW,E06000020
local-authority-eng:TEN,E07000076
local-authority-eng:TES,E07000093
local-authority-eng:TEW,E07000083
local-authority-eng:THA,E07000114
local-authority-eng:THE,E07000102
local-authority-eng:THR,E06000034
local-authority-eng:TON,E07000115
local-authority-eng:TOB,E06000027
local-authority-eng:TOR,E07000046
local-authority-eng:TRF,E08000009
local-authority-eng:TUN,E07000116
local-authority-eng:UTT,E07000077
local-authority-eng:VAL,E07000180
local-authority-eng:WKF,E08000036
local-authority-eng:WLL,E08000030
local-authority-eng:WRT,E06000007
local-authority-eng:WAW,E07000222
local-authority-eng:WAR,
local-authority-eng:WAT,E07000103
local-authority-eng:WAV,E07000206
local-authority-eng:WAE,E07000216
local-authority-eng:WEA,E07000065
local-authority-eng:WEL,E07000156
local-authority-eng:WEW,E07000241
local-authority-eng:WBK,E06000037
local-authority-eng:WDE,E06000026
local-authority-eng:WDO,E07000052
local-authority-eng:WLA,E07000127
local-authority-eng:WLI,E07000142
local-authority-eng:WOX,E07000181
local-authority-eng:WSO,E07000191
local-authority-eng:WSX,
local-authority-eng:WSM,E09000033
local-authority-eng:WEY,E07000053
local-authority-eng:WGN,E08000010
local-authority-eng:WIL,E06000054
local-authority-eng:WIN,E07000094
local-authority-eng:WRL,E08000015
local-authority-eng:WOI,E07000217
local-authority-eng:WOK,E06000041
local-authority-eng:WLV,E08000031
local-authority-eng:WOC,E07000237
local-authority-eng:WOR,
local-authority-eng:WYC,E07000238
local-authority-eng:WYO,E07000007
local-authority-eng:WYR,E07000128
local-authority-eng:WYE,E07000239
development-corporation:DC1,E51000001
development-corporation:DC2,E51000002
