dataset,prefix,local-authority-eng,local-authority-type,wikidata,name,combined-authority,statistical-geography,start-date,end-date
local-authority,local-authority,BNE,LBO,Q4861611,London Borough of Barnet,,E09000003,,
local-authority,local-authority,BNH,UA,Q16953725,Brighton and Hove City Council,,E06000043,1905-06-19,
local-authority,local-authority,BNS,MD,Q16950416,Barnsley Metropolitan Borough Council,SCR,E08000016,1974-04-01,
local-authority,local-authority,BOL,MD,Q16952682,Bolton Metropolitan Borough Council,GMCA,E08000001,1974-04-01,
local-authority,local-authority,BOS,NMD,Q73072533,Bolsover District Council,,E07000033,,
local-authority,local-authority,BOT,NMD,Q73072538,Boston Borough Council,,E07000136,,
local-authority,local-authority,BPC,UA,Q54818205,"Bournemouth, Christchurch and Poole Council",,E06000058,2019-04-01,
local-authority,local-authority,BPL,UA,Q16984489,Blackpool Borough Council,,E06000009,1905-06-20,
local-authority,local-authority,BRA,NMD,Q73072540,Braintree District Council,,E07000067,,
local-authority,local-authority,BRC,UA,Q16985082,Bracknell Forest Council,,E06000036,1998-04-01,
local-authority,local-authority,BRD,MD,Q16953331,City of Bradford Metropolitan District Council,WYCA,E08000032,1974-04-01,
local-authority,local-authority,BRE,NMD,Q73072542,Breckland District Council,,E07000143,,
local-authority,local-authority,BRM,NMD,Q73072550,Bromsgrove District Council,,E07000234,,
local-authority,local-authority,BRO,NMD,Q73072548,Broadland District Council,,E07000144,,
local-authority,local-authority,BRT,NMD,Q73072553,Broxtowe Borough Council,,E07000172,,
local-authority,local-authority,BRW,NMD,Q73072544,Brentwood Borough Council,,E07000068,,
local-authority,local-authority,BRX,NMD,Q4976877,Broxbourne Borough Council,,E07000095,,
local-authority,local-authority,BRY,LBO,Q4973687,London Borough of Bromley,,E09000006,,
local-authority,local-authority,BST,UA,Q16953796,Bristol City Council,WECA,E06000023,1905-06-18,
local-authority,local-authority,BUC,UA,Q65052846,Buckinghamshire Council,,E06000060,2020-04-01,
local-authority,local-authority,BUN,NMD,Q73072554,Burnley Borough Council,,E07000117,,
local-authority,local-authority,BUR,MD,Q16954633,Bury Metropolitan Borough Council,GMCA,E08000002,1974-04-01,
local-authority,local-authority,CAB,NMD,Q5025388,Cambridge City Council,CPCA,E07000008,,
local-authority,local-authority,CAM,CTY,Q5025648,Cambridgeshire County Council,,E10000003,,
local-authority,local-authority,CAN,NMD,Q73072556,Cannock Chase District Council,,E07000192,,
local-authority,local-authority,CAR,NMD,Q73072558,Carlisle City Council,,E07000028,,2023-03-31
local-authority,local-authority,CAS,NMD,Q73072562,Castle Point Borough Council,,E07000069,,
local-authority,local-authority,CAT,NMD,Q55098924,Canterbury City Council,,E07000106,,
local-authority,local-authority,CBF,UA,Q16986562,Central Bedfordshire Council,,E06000056,2009-04-01,
local-authority,local-authority,CHA,NMD,Q73072564,Charnwood Borough Council,,E07000130,,
local-authority,local-authority,CHC,NMD,Q73072580,Christchurch Borough Council,,E07000048,,2019-03-31
local-authority,local-authority,CHE,UA,Q16829355,Cheshire East Council,,E06000049,2009-04-01,
local-authority,local-authority,CHI,NMD,Q73072573,Chichester District Council,,E07000225,1974-04-01,
local-authority,local-authority,CHL,NMD,Q73072566,Chelmsford City Council,,E07000070,,
local-authority,local-authority,CHN,NMD,Q73072575,Chiltern District Council,,E07000005,,2020-03-31
local-authority,local-authority,CHO,NMD,Q73072578,Chorley Borough Council,,E07000118,,
local-authority,local-authority,CHR,NMD,Q73072569,Cherwell District Council,,E07000177,,
local-authority,local-authority,CHS,NMD,Q73072572,Chesterfield Borough Council,,E07000034,,
local-authority,local-authority,CHT,NMD,Q28401301,Cheltenham Borough Council,,E07000078,,
local-authority,local-authority,CHW,UA,Q16829360,Cheshire West and Chester Council,,E06000050,2009-04-01,
local-authority,local-authority,CLD,MD,Q16985873,Calderdale Metropolitan Borough Council,WYCA,E08000033,1974-04-01,
local-authority,local-authority,CMA,CTY,Q5194027,Cumbria County Council,,E10000006,,
local-authority,local-authority,CMD,LBO,Q5025790,London Borough of Camden,,E09000007,,
local-authority,local-authority,COL,NMD,Q73072586,Colchester Borough Council,,E07000071,,
local-authority,local-authority,CON,UA,Q3774189,Cornwall Council,,E06000052,2009-04-01,
local-authority,local-authority,COP,NMD,Q73072589,Copeland Borough Council,,E07000029,,2023-03-31
local-authority,local-authority,COR,NMD,Q73072591,Corby Borough Council,,E07000150,1974-04-01,2021-03-31
local-authority,local-authority,COT,NMD,Q5175478,Cotswold District Council,,E07000079,,
local-authority,local-authority,COV,MD,Q5179058,Coventry City Council,WMCA,E08000026,1974-04-01,
local-authority,local-authority,CPCA,COMB,Q28451058,Cambridgeshire and Peterborough Combined Authority,,E47000008,2014-04-01,
local-authority,local-authority,CRA,NMD,Q73072595,Craven District Council,,E07000163,,2023-03-31
local-authority,local-authority,CRW,NMD,Q30255982,Crawley Borough Council,,E07000226,1974-04-01,
local-authority,local-authority,CRY,LBO,Q5189676,London Borough of Croydon,,E09000008,,
local-authority,local-authority,DAC,NMD,Q5207723,Dacorum Borough Council,,E07000096,,
local-authority,local-authority,DAL,UA,Q16948698,Darlington Borough Council,TVCA,E06000005,1997-04-01,
local-authority,local-authority,DAR,NMD,Q55098919,Dartford Borough Council,,E07000107,,
local-authority,local-authority,DAV,NMD,Q73072596,Daventry District Council,,E07000151,1974-04-01,2021-03-31
local-authority,local-authority,DBY,CTY,Q5261561,Derbyshire County Council,,E10000007,,
local-authority,local-authority,DEB,NMD,Q73072598,Derbyshire Dales District Council,,E07000035,,
local-authority,local-authority,DER,UA,Q5261430,Derby City Council,,E06000015,,
local-authority,local-authority,DEV,CTY,Q6385990,Devon County Council,,E10000008,,
local-authority,local-authority,DNC,MD,Q16988947,Doncaster Metropolitan Borough Council,SCR,E08000017,1974-04-01,
local-authority,local-authority,DOR,CTY,Q5298839,Dorset County Council,,E10000009,,2019-03-31
local-authority,local-authority,DOV,NMD,Q55098918,Dover District Council,,E07000108,,
local-authority,local-authority,DST,UA,Q55609905,Dorset Council,,E06000059,2019-04-01,
local-authority,local-authority,DUD,MD,Q16991635,Dudley Metropolitan Borough Council,WMCA,E08000027,1974-04-01,
local-authority,local-authority,DUR,UA,Q5316492,Durham County Council,NECA,E06000047,2009-04-01,
local-authority,local-authority,EAL,LBO,Q5325486,London Borough of Ealing,,E09000009,,
local-authority,local-authority,EAS,NMD,Q30588396,Eastbourne Borough Council,,E07000061,,
local-authority,local-authority,EAT,NMD,Q73072609,Eastleigh Borough Council,,E07000086,,
local-authority,local-authority,ECA,NMD,Q65090031,East Cambridgeshire District Council,CPCA,E07000009,,
local-authority,local-authority,EDE,NMD,Q69118038,East Devon District Council,,E07000040,,
local-authority,local-authority,EDN,NMD,Q73072611,Eden District Council,,E07000030,,2023-03-31
local-authority,local-authority,EDO,NMD,Q73072599,East Dorset District Council,,E07000049,1974-04-01,2019-03-31
local-authority,local-authority,EHA,NMD,Q73072602,East Hampshire District Council,,E07000085,,
local-authority,local-authority,EHE,NMD,Q5328577,East Hertfordshire District Council,,E07000242,,
local-authority,local-authority,ELI,NMD,Q73072603,East Lindsey District Council,,E07000137,,
local-authority,local-authority,ELM,NMD,Q73072615,Elmbridge Borough Council,,E07000207,,
local-authority,local-authority,ENF,LBO,Q5377310,London Borough of Enfield,,E09000010,,
local-authority,local-authority,ENO,NMD,Q73072604,East Northamptonshire Council,,E07000152,1974-04-01,2021-03-31
local-authority,local-authority,EPP,NMD,Q73072617,Epping Forest District Council,,E07000072,,
local-authority,local-authority,EPS,NMD,Q73072619,Epsom and Ewell Borough Council,,E07000208,,
local-authority,local-authority,ERE,NMD,Q73072621,Erewash Borough Council,,E07000036,,
local-authority,local-authority,ERY,UA,Q16989282,East Riding of Yorkshire Council,,E06000011,1996-04-01,
local-authority,local-authority,ESK,NMD,Q59536023,East Suffolk Council,,E07000244,2019-04-01,
local-authority,local-authority,ESS,CTY,Q5399679,Essex County Council,,E10000012,,
local-authority,local-authority,EST,NMD,Q73072606,East Staffordshire Borough Council,,E07000193,,
local-authority,local-authority,ESX,CTY,Q5329458,East Sussex County Council,,E10000011,,
local-authority,local-authority,EXE,NMD,Q5420103,Exeter City Council,,E07000041,,
local-authority,local-authority,FAR,NMD,Q73072624,Fareham Borough Council,,E07000087,,
local-authority,local-authority,FEN,NMD,Q73072625,Fenland District Council,CPCA,E07000010,,
local-authority,local-authority,FOE,NMD,Q28401332,Forest of Dean District Council,,E07000080,,
local-authority,local-authority,FOR,NMD,Q73072627,Forest Heath District Council,,E07000201,1974-04-01,2019-03-31
local-authority,local-authority,FYL,NMD,Q73072630,Fylde Borough Council,,E07000119,,
local-authority,local-authority,GAT,MD,Q54666929,Gateshead Metropolitan Borough Council,NECA,E08000037,1974-04-01,
local-authority,local-authority,GED,NMD,Q73072632,Gedling Borough Council,,E07000173,,
local-authority,local-authority,GLA,SRA,Q1135166,Greater London Authority,,E12000007,1905-06-22,
local-authority,local-authority,GLO,NMD,Q28401303,Gloucester City Council,,E07000081,,
local-authority,local-authority,GLS,CTY,Q16839354,Gloucestershire County Council,,E10000013,,
local-authority,local-authority,GMCA,COMB,Q5600634,Greater Manchester Combined Authority,,E47000001,2014-04-01,
local-authority,local-authority,GOS,NMD,Q73072634,Gosport Borough Council,,E07000088,,
local-authority,local-authority,GRA,NMD,Q55098935,Gravesham Borough Council,,E07000109,,
local-authority,local-authority,GRE,LBO,Q5604860,Royal Borough of Greenwich,,E09000011,,
local-authority,local-authority,GRT,NMD,Q73072637,Guildford Borough Council,,E07000209,,
local-authority,local-authority,GRY,NMD,Q73072635,Great Yarmouth Borough Council,,E07000145,,
local-authority,local-authority,HAA,NMD,Q73072652,Havant Borough Council,,E07000090,,
local-authority,local-authority,HAE,NMD,Q73072640,Hambleton District Council,,E07000164,,2023-03-31
local-authority,local-authority,HAG,NMD,Q73072647,Harrogate Borough Council,,E07000165,,2023-03-31
local-authority,local-authority,HAL,UA,Q16983144,Halton Borough Council,LCR,E06000006,1998-04-01,
local-authority,local-authority,HAM,CTY,Q5646045,Hampshire County Council,,E10000014,,
local-authority,local-authority,HAO,NMD,Q73072642,Harborough District Council,,E07000131,,
local-authority,local-authority,HAR,NMD,Q73072645,Harlow District Council,,E07000073,,
local-authority,local-authority,HAS,NMD,Q73072650,Hastings Borough Council,,E07000062,,
local-authority,local-authority,HAT,NMD,Q73072649,Hart District Council,,E07000089,,
local-authority,local-authority,HAV,LBO,Q5683826,London Borough of Havering,,E09000016,,
local-authority,local-authority,HCK,LBO,Q5637369,London Borough of Hackney,,E09000012,,
local-authority,local-authority,HEF,UA,Q5738061,Herefordshire Council,,E06000019,1998-04-01,
local-authority,local-authority,HER,NMD,Q15223753,Hertsmere Borough Council,,E07000098,,
local-authority,local-authority,HIG,NMD,Q5756024,High Peak Borough Council,,E07000037,,
local-authority,local-authority,HIL,LBO,Q5763303,London Borough of Hillingdon,,E09000017,,
local-authority,local-authority,HIN,NMD,Q73072654,Hinckley and Bosworth Borough Council,,E07000132,,
local-authority,local-authority,HMF,LBO,Q5645758,London Borough of Hammersmith & Fulham,,E09000013,,
local-authority,local-authority,HNS,LBO,Q5913301,London Borough of Hounslow,,E09000018,,
local-authority,local-authority,HOR,NMD,Q73072656,Horsham District Council,,E07000227,1974-04-01,
local-authority,local-authority,HPL,UA,Q16993720,Hartlepool Borough Council,TVCA,E06000001,1905-06-18,
local-authority,local-authority,HRT,CTY,Q5744765,Hertfordshire County Council,,E10000015,,
local-authority,local-authority,HRW,LBO,Q5666565,London Borough of Harrow,,E09000015,,
local-authority,local-authority,HRY,LBO,Q5657624,London Borough of Haringey,,E09000014,,
local-authority,local-authority,HUN,NMD,Q73072657,Huntingdonshire District Council,CPCA,E07000011,,
local-authority,local-authority,HYN,NMD,Q65089006,Hyndburn Borough Council,,E07000120,,
local-authority,local-authority,IOS,UA,Q28195166,Council of the Isles of Scilly,,E06000053,1974-04-01,
local-authority,local-authority,IOW,UA,Q6084095,Isle of Wight Council,,E06000046,1905-06-17,
local-authority,local-authority,IPS,NMD,Q16191496,Ipswich Borough Council,,E07000202,,
local-authority,local-authority,ISL,LBO,Q6084379,London Borough of Islington,,E09000019,,
local-authority,local-authority,KEC,LBO,Q6391507,Royal Borough of Kensington and Chelsea,,E09000020,,
local-authority,local-authority,KEN,CTY,Q6386127,Kent County Council,,E10000016,,
local-authority,local-authority,KET,NMD,Q6395462,Kettering Borough Council,,E07000153,1974-04-01,2021-03-31
local-authority,local-authority,KHL,UA,Q5935834,Hull City Council,,E06000010,1996-04-01,
local-authority,local-authority,KIN,NMD,Q73072537,Borough Council of King's Lynn and West Norfolk,,E07000146,,
local-authority,local-authority,KIR,MD,Q16995709,Kirklees Council,WYCA,E08000034,1974-04-01,
local-authority,local-authority,KTT,LBO,Q6413671,Royal Borough of Kingston upon Thames,,E09000021,,
local-authority,local-authority,KWL,MD,Q16995750,Knowsley Metropolitan Borough Council,LCR,E08000011,1974-04-01,
local-authority,local-authority,LAC,NMD,Q73072658,Lancaster City Council,,E07000121,,
local-authority,local-authority,LAN,CTY,Q6386149,Lancashire County Council,,E10000017,,
local-authority,local-authority,LBH,LBO,Q6481450,London Borough of Lambeth,,E09000022,,
local-authority,local-authority,LCE,UA,Q6519163,Leicester City Council,,E06000016,1905-06-19,
local-authority,local-authority,LCR,COMB,Q16996746,Liverpool City Region,,E47000004,2014-04-01,
local-authority,local-authority,LDS,MD,Q6515870,Leeds City Council,WYCA,E08000035,1905-06-08,
local-authority,local-authority,LEC,CTY,Q6386198,Leicestershire County Council,,E10000018,1889-01-01,
local-authority,local-authority,LEE,NMD,Q73072662,Lewes District Council,,E07000063,,
local-authority,local-authority,LEW,LBO,Q6537320,London Borough of Lewisham,,E09000023,,
local-authority,local-authority,LIC,NMD,Q73072583,City of Lincoln Council,,E07000138,,
local-authority,local-authority,LIF,NMD,Q6543271,Lichfield District Council,,E07000194,,
local-authority,local-authority,LIN,CTY,Q16996347,Lincolnshire County Council,,E10000019,,
local-authority,local-authority,LIV,MD,Q6658351,Liverpool City Council,LCR,E08000012,1905-06-08,
local-authority,local-authority,LND,CC,Q1094147,City of London Corporation,,E09000001,1905-06-28,
local-authority,local-authority,LUT,UA,Q16997109,Luton Borough Council,,E06000032,1905-06-19,
local-authority,local-authority,MAI,NMD,Q16997208,Maidstone Borough Council,,E07000110,,
local-authority,local-authority,MAL,NMD,Q73072663,Maldon District Council,,E07000074,,
local-authority,local-authority,MAN,MD,Q2302252,Manchester City Council,GMCA,E08000003,1974-04-01,
local-authority,local-authority,MAS,NMD,Q73072669,Mansfield District Council,,E07000174,,
local-authority,local-authority,MAV,NMD,Q73072667,Malvern Hills District Council,,E07000235,,
local-authority,local-authority,MDB,UA,Q6841843,Middlesbrough Borough Council,TVCA,E06000002,1905-06-18,
local-authority,local-authority,MDE,NMD,Q73072676,Mid Devon District Council,,E07000042,,
local-authority,local-authority,MDW,UA,Q16997526,Medway Council,,E06000035,1998-04-01,
local-authority,local-authority,MEL,NMD,Q73072672,Melton Borough Council,,E07000133,,
local-authority,local-authority,MEN,NMD,Q73072673,Mendip District Council,,E07000187,,2023-03-31
local-authority,local-authority,MIK,UA,Q16997843,Milton Keynes Council,,E06000042,1905-06-19,
local-authority,local-authority,MOL,NMD,Q73072681,Mole Valley District Council,,E07000210,,
local-authority,local-authority,MRT,LBO,Q6820723,London Borough of Merton,,E09000024,,
local-authority,local-authority,MSS,NMD,Q73072679,Mid Sussex District Council,,E07000228,1974-04-01,
local-authority,local-authority,MSU,NMD,Q73072678,Mid Suffolk District Council,,E07000203,,
local-authority,local-authority,NBL,UA,Q6386521,Northumberland County Council,NTCA,E06000057,2009-04-01,
local-authority,local-authority,NDE,NMD,Q7055115,North Devon District Council,,E07000043,,
local-authority,local-authority,NDO,NMD,Q73072691,North Dorset District Council,,E07000050,,2019-03-31
local-authority,local-authority,NEA,NMD,Q73072684,Newark and Sherwood District Council,,E07000175,,
local-authority,local-authority,NEC,NMD,Q73072687,Newcastle-under-Lyme Borough Council,,E07000195,,
local-authority,local-authority,NECA,COMB,Q16986408,North East Combined Authority,,E47000010,2014-04-15,
local-authority,local-authority,NED,NMD,Q73072692,North East Derbyshire District Council,,E07000038,,
local-authority,local-authority,NEL,UA,Q17016820,North East Lincolnshire Council,,E06000012,1996-04-01,
local-authority,local-authority,NET,MD,Q16998823,Newcastle City Council,NTCA,E08000021,1974-04-01,
local-authority,local-authority,NEW,NMD,Q73072682,New Forest District Council,,E07000091,,
local-authority,local-authority,NFK,CTY,Q6386227,Norfolk County Council,,E10000020,,
local-authority,local-authority,NGM,UA,Q7063612,Nottingham City Council,,E06000018,1905-06-20,
local-authority,local-authority,NHE,NMD,Q7055592,North Hertfordshire District Council,,E07000099,,
local-authority,local-authority,NKE,NMD,Q28401189,North Kesteven District Council,,E07000139,,
local-authority,local-authority,NLN,UA,Q17016863,North Lincolnshire Council,,E06000013,1996-04-01,
local-authority,local-authority,NNO,NMD,Q73072695,North Norfolk District Council,,E07000147,,
local-authority,local-authority,NNUA,UA,Q111232446,North Northamtonshire Council,,E06000061,2020-04-01,
local-authority,local-authority,NOR,NMD,Q73072702,Northampton Borough Council,,E07000154,1974-04-01,2020-03-31
local-authority,local-authority,NOW,NMD,Q17012769,Norwich City Council,,E07000148,,
local-authority,local-authority,NSM,UA,Q17016922,North Somerset  Council,,E06000024,1996-04-01,
local-authority,local-authority,NTCA,COMB,Q55136954,North of Tyne Combined Authority,,E47000011,2018-11-02,
local-authority,local-authority,NTH,CTY,Q14942414,Northamptonshire County Council,,E10000021,1974-04-01,2021-03-31
local-authority,local-authority,NTT,CTY,Q16934215,Nottinghamshire County Council,,E10000024,1937-01-01,
local-authority,local-authority,NTY,MD,Q17017005,North Tyneside Council,NTCA,E08000022,1974-04-01,
local-authority,local-authority,NUN,NMD,Q73072703,Nuneaton and Bedworth Borough Council,,E07000219,,
local-authority,local-authority,NWA,NMD,Q73072698,North Warwickshire Borough Council,,E07000218,,
local-authority,local-authority,NWL,NMD,Q73072699,North West Leicestershire District Council,,E07000134,,
local-authority,local-authority,NWM,LBO,Q7018141,London Borough of Newham,,E09000025,,
local-authority,local-authority,NYK,CTY,Q17017103,North Yorkshire County Council,,E10000023,,2023-03-31
local-authority,local-authority,OAD,NMD,Q73072704,Oadby and Wigston Borough Council,,E07000135,,
local-authority,local-authority,OLD,MD,Q17017730,Oldham Metropolitan Borough Council,GMCA,E08000004,1905-06-07,
local-authority,local-authority,OXF,CTY,Q6386253,Oxfordshire County Council,,E10000025,,
local-authority,local-authority,OXO,NMD,Q7115277,Oxford City Council,,E07000178,,
local-authority,local-authority,PEN,NMD,Q7162423,Pendle Borough Council,,E07000122,,
local-authority,local-authority,PLY,UA,Q7205775,Plymouth City Council,,E06000026,1998-04-01,
local-authority,local-authority,POL,UA,Q7228609,Borough of Poole,,E06000029,1997-04-01,2019-03-31
local-authority,local-authority,POR,UA,Q17104656,Portsmouth City Council,,E06000044,1905-06-20,
local-authority,local-authority,PRE,NMD,Q65089357,Preston City Council,,E07000123,,
local-authority,local-authority,PTE,UA,Q6664413,Peterborough City Council,CPCA,E06000031,1905-06-20,
local-authority,local-authority,PUR,NMD,Q73072707,Purbeck District Council,,E07000051,,2019-03-31
local-authority,local-authority,RCC,UA,Q17019415,Redcar and Cleveland Borough Council,TVCA,E06000003,1996-04-01,
local-authority,local-authority,RCH,MD,Q17019804,Rochdale Metropolitan Borough Council,GMCA,E08000005,1905-05-27,
local-authority,local-authority,RDB,LBO,Q7305508,London Borough of Redbridge,,E09000026,,
local-authority,local-authority,RDG,UA,Q17018654,Reading Borough Council,,E06000038,1905-05-27,
local-authority,local-authority,RED,NMD,Q14978996,Redditch Borough Council,,E07000236,,
local-authority,local-authority,REI,NMD,Q73072709,Reigate and Banstead Borough Council,,E07000211,,
local-authority,local-authority,RIB,NMD,Q73072712,Ribble Valley Borough Council,,E07000124,,
local-authority,local-authority,RIC,LBO,Q7331065,London Borough of Richmond upon Thames,,E09000027,,
local-authority,local-authority,RIH,NMD,Q73072715,Richmondshire District Council,,E07000166,,2023-03-31
local-authority,local-authority,ROC,NMD,Q73072717,Rochford District Council,,E07000075,,
local-authority,local-authority,ROH,NMD,Q73072720,Rother District Council,,E07000064,,
local-authority,local-authority,ROS,NMD,Q7369771,Rossendale Borough Council,,E07000125,,
local-authority,local-authority,ROT,MD,Q17020059,Rotherham Metropolitan Borough Council,SCR,E08000018,1905-05-27,
local-authority,local-authority,RUG,NMD,Q73072725,Rugby Borough Council,,E07000220,,
local-authority,local-authority,RUH,NMD,Q73072730,Rushmoor Borough Council,,E07000092,,
local-authority,local-authority,RUN,NMD,Q73072726,Runnymede Borough Council,,E07000212,,
local-authority,local-authority,RUS,NMD,Q73072729,Rushcliffe Borough Council,,E07000176,,
local-authority,local-authority,RUT,UA,Q7383481,Rutland County Council,,E06000017,1997-04-01,
local-authority,local-authority,RYE,NMD,Q73072732,Ryedale District Council,,E07000167,,2023-03-31
local-authority,local-authority,SAL,NMD,Q7592257,St Albans City and District Council,,E07000240,1974-04-01,
local-authority,local-authority,SAW,MD,Q7417057,Sandwell Metropolitan Borough Council,WMCA,E08000028,1905-06-07,
local-authority,local-authority,SBU,NMD,Q65089619,South Bucks District Council,,E07000006,,2020-03-31
local-authority,local-authority,SCA,NMD,Q7566485,South Cambridgeshire District Council,CPCA,E07000012,,
local-authority,local-authority,SCE,NMD,Q73072735,Scarborough Borough Council,,E07000168,,2023-03-31
local-authority,local-authority,SCR,COMB,Q17020947,Sheffield City Region,,E47000002,2018-05-03,
local-authority,local-authority,SDE,NMD,Q73072741,South Derbyshire District Council,,E07000039,,
local-authority,local-authority,SED,NMD,Q73072776,St Edmundsbury Borough Council,,E07000204,,2019-03-31
local-authority,local-authority,SEG,NMD,Q73072737,Sedgemoor District Council,,E07000188,,2023-03-31
local-authority,local-authority,SEL,NMD,Q73072740,Selby District Council,,E07000169,,2023-03-31
local-authority,local-authority,SEV,NMD,Q55098936,Sevenoaks District Council,,E07000111,,
local-authority,local-authority,SFK,CTY,Q3305205,Suffolk County Council,,E10000029,,
local-authority,local-authority,SFT,MD,Q7446119,Sefton Metropolitan Borough Council,LCR,E08000014,1905-06-08,
local-authority,local-authority,SGC,UA,Q17020724,South Gloucestershire Council,WECA,E06000025,1905-06-18,
local-authority,local-authority,SHA,NMD,Q23461861,South Hams District Council,,E07000044,,
local-authority,local-authority,SHE,NMD,Q55099243,Folkestone and Hythe Council,,E07000112,,
local-authority,local-authority,SHF,MD,Q7492609,Sheffield City Council,SCR,E08000019,1905-06-08,
local-authority,local-authority,SHN,MD,Q17022094,St Helens Council,LCR,E08000013,1905-06-08,
local-authority,local-authority,SHO,NMD,Q73072743,South Holland District Council,,E07000140,,
local-authority,local-authority,SHR,UA,Q93612,Shropshire Council,,E06000051,2009-04-01,
local-authority,local-authority,SKE,NMD,Q73072747,South Kesteven District Council,,E07000141,,
local-authority,local-authority,SKP,MD,Q7618164,Stockport Metropolitan Borough Council,GMCA,E08000007,1905-05-27,
local-authority,local-authority,SLA,NMD,Q73072749,South Lakeland District Council,,E07000031,,2023-03-31
local-authority,local-authority,SLF,MD,Q17020402,Salford City Council,GMCA,E08000006,1905-05-27,
local-authority,local-authority,SLG,UA,Q7541466,Slough Borough Council,,E06000039,1998-04-01,
local-authority,local-authority,SND,MD,Q17022675,Sunderland City Council,NECA,E08000024,1905-05-27,
local-authority,local-authority,SNO,NMD,Q73072752,South Norfolk District Council,,E07000149,,
local-authority,local-authority,SNR,NMD,Q105544722,South Northamptonshire Council,,E07000155,1974-04-01,2021-03-31
local-authority,local-authority,SOL,MD,Q17021590,Solihull Metropolitan Borough Council,WMCA,E08000029,1905-05-27,
local-authority,local-authority,SOM,CTY,Q6386270,Somerset County Council,,E10000027,,2023-03-31
local-authority,local-authority,SOS,UA,Q7569516,Southend-on-Sea Borough Council,,E06000033,1905-06-20,
local-authority,local-authority,SOX,NMD,Q65089301,South Oxfordshire District Council,,E07000179,,
local-authority,local-authority,SPE,NMD,Q73072774,Spelthorne Borough Council,,E07000213,,
local-authority,local-authority,SRI,NMD,Q73072755,South Ribble Borough Council,,E07000126,,
local-authority,local-authority,SRY,CTY,Q6386325,Surrey County Council,,E10000030,,
local-authority,local-authority,SSO,NMD,Q73072757,South Somerset District Council,,E07000189,,2023-03-31
local-authority,local-authority,SST,NMD,Q73072759,South Staffordshire Council,,E07000196,,
local-authority,local-authority,STA,NMD,Q73072778,Stafford Borough Council,,E07000197,,
local-authority,local-authority,STE,UA,Q17022507,Stoke-on-Trent City Council,,E06000021,1905-06-20,
local-authority,local-authority,STF,NMD,Q73072779,Staffordshire Moorlands District Council,,E07000198,,
local-authority,local-authority,STH,UA,Q17021809,Southampton City Council,,E06000045,1905-06-19,
local-authority,local-authority,STN,LBO,Q7650288,London Borough of Sutton,,E09000029,,
local-authority,local-authority,STO,NMD,Q28401169,Stroud District Council,,E07000082,,
local-authority,local-authority,STR,NMD,Q73072781,Stratford-on-Avon District Council,,E07000221,,
local-authority,local-authority,STS,CTY,Q6386295,Staffordshire County Council,,E10000028,,
local-authority,local-authority,STT,UA,Q17022493,Stockton-on-Tees Borough Council,TVCA,E06000004,1905-06-18,
local-authority,local-authority,STV,NMD,Q7615422,Stevenage Borough Council,,E07000243,,
local-authority,local-authority,STY,MD,Q23463529,South Tyneside Council,NECA,E08000023,1974-04-01,
local-authority,local-authority,SUF,NMD,Q73072783,Suffolk Coastal District Council,,E07000205,,2019-03-31
local-authority,local-authority,SUR,NMD,Q73072785,Surrey Heath Borough Council,,E07000214,,
