dataset,prefix,local-authority-eng,local-authority-type,wikidata,name,combined-authority,statistical-geography,start-date,end-date
local-authority,local-authority,ADU,NMD,Q72980889,Adur District Council,,E07000223,,
local-authority,local-authority,ALL,NMD,Q72980920,Allerdale Borough Council,,E07000026,,2023-03-31
local-authority,local-authority,AMB,NMD,Q72980961,Amber Valley Borough Council,,E07000032,,
local-authority,local-authority,ARU,NMD,Q72980967,Arun District Council,,E07000224,,
local-authority,local-authority,ASF,NMD,Q55098926,Ashford Borough Council,,E07000105,,
local-authority,local-authority,ASH,NMD,Q73038329,Ashfield District Council,,E07000170,,
local-authority,local-authority,AYL,NMD,Q61995983,Aylesbury Vale District Council,,E07000004,,2020-03-31
local-authority,local-authority,BAB,NMD,Q73039037,Babergh District Council,,E07000200,,
local-authority,local-authority,BAE,NMD,Q73045241,Bassetlaw District Council,,E07000171,,
local-authority,local-authority,BAI,NMD,Q4867303,Basildon Borough Council,,E07000066,,
local-authority,local-authority,BAN,NMD,Q73072528,Basingstoke and Deane Borough Council,,E07000084,,
local-authority,local-authority,BAR,NMD,Q73072525,Barrow-in-Furness Borough Council,,E07000027,,2023-03-31
local-authority,local-authority,BAS,UA,Q16966588,Bath and North East Somerset Council,WECA,E06000022,1996-04-01,
local-authority,local-authority,BBD,UA,Q16984481,Blackburn with Darwen Borough Council,,E06000008,1998-04-01,
local-authority,local-authority,BDF,UA,Q16239012,Bedford Borough Council,,E06000055,2009-04-01,
local-authority,local-authority,BDG,LBO,Q4861056,London Borough of Barking and Dagenham,,E09000002,,
local-authority,local-authority,BEN,LBO,Q4961461,London Borough of Brent,,E09000005,,
local-authority,local-authority,BEX,LBO,Q4899799,London Borough of Bexley,,E09000004,,
local-authority,local-authority,BIR,MD,Q4916650,Birmingham City Council,WMCA,E08000025,1986-07-01,
local-authority,local-authority,BKM,CTY,Q4983255,Buckinghamshire County Council,,E10000002,1905-06-19,2020-03-31
local-authority,local-authority,BLA,NMD,Q73072529,Blaby District Council,,E07000129,,
local-authority,local-authority,BMH,UA,Q1144019,Bournemouth Borough Council,,E06000028,1905-06-19,2019-03-31
