name,wikidata,organisation,government-organisation,website,opendatacommunities,esd-inventories,statistical-geography,start-date,end-date
,Q601819,government-organisation:D4,D4,,http://opendatacommunities.org/def/concept/folders/organisations/department-for-communities-and-local-government,,,,
,Q7201367,government-organisation:EA39,EA39,,http://opendatacommunities.org/def/concept/folders/organisations/the-planning-inspectorate,,,,
,Q19604421,government-organisation:PB1164,PB1164,https://historicengland.org.uk/,,,,,
,Q5635120,government-organisation:D69,D69,,,,,,
,Q1334971,government-organisation:D303,D303,https://www.ons.gov.uk/,,,,,
Homes England,Q5890410,government-organisation:PB1232,PB1232,https://www.gov.uk/government/organisations/homes-england,http://opendatacommunities.org/def/concept/folders/organisations/the-homes-and-communities-agency,,,,
,Q1478750,government-organisation:PB207,PB207,,,,,,
,Q6670544,development-corporation:Q6670544,,,,,,,
,Q20648596,development-corporation:Q20648596,,,,,,,
,Q7986087,development-corporation:Q7986087,,,,,,,
,Q72456968,development-corporation:Q72456968,,,,,,,
,Q72463795,development-corporation:Q72463795,PB1154,,,,,,
,Q6670837,development-corporation:Q6670837,PB374,,,,,,
,Q7986087,development-corporation:Q7986087,PB501,,,,,,
,Q7799380,development-corporation:Q7799380,OT840,,,,,,
,Q7860503,development-corporation:Q7860503,,,,,,,
,Q4916714,development-corporation:Q4916714,,,,,,,
,Q4972284,national-park:Q4972284,OT216,,,,,,
,Q5225646,national-park:Q5225646,OT217,,,,,,
,Q72617784,national-park:Q72617784,OT219,,,,,,
,Q27159704,national-park:Q27159704,OT220,,,,,,
,Q72617158,national-park:Q72617158,OT222,,,,,,
,Q72617669,national-park:Q72617669,OT223,,,,,,
,Q72617890,national-park:Q72617890,OT543,,,,,,
,Q72617988,national-park:Q72617988,OT545,,,,,,
,Q20198711,national-park:Q20198711,OT546,,,,,,
,Q27178932,national-park:Q27178932,OT547,,,,,,
,Q72980889,local-authority-eng:ADU,,,,,,,
,,local-authority-eng:BAR,,,,1532,,,
,Q4861056,local-authority-eng:BDG,,,,,,,
,Q4961461,local-authority-eng:BEN,,,,,,,
,Q4899799,local-authority-eng:BEX,,,,,,,
,Q4861611,local-authority-eng:BNE,,,,,,,
,Q16952682,local-authority-eng:BOL,,,,,,,
,Q54818205,local-authority-eng:BPC,,,,,E06000058,,
,Q16984489,local-authority-eng:BPL,,,,,,,
,,local-authority-eng:BRC,,,,1535,,,
,Q16953331,local-authority-eng:BRD,,,,,,,
,Q73072548,local-authority-eng:BRO,,,,,,,
,,local-authority-eng:BRW,,,,1374,,,
,Q4973687,local-authority-eng:BRY,,,,,,,
,Q16953796,local-authority-eng:BST,,,,,,,
,Q73072572,local-authority-eng:CHS,,,,,,,
,Q5025790,local-authority-eng:CMD,,,,,,,
,,local-authority-eng:COL,,,,1526,,,
,Q73072591,local-authority-eng:COR,,,,,,,
,Q28451058,local-authority-eng:CPCA,,,,,E47000008,,
,Q5189676,local-authority-eng:CRY,,,,,,,
,Q55609905,local-authority-eng:DST,,,,,,,
,Q5325486,local-authority-eng:EAL,,,,,,,
,Q30588396,local-authority-eng:EAS,,,,,,,
,Q5328577,local-authority-eng:EHE,,,,,,,
,Q5377310,local-authority-eng:ENF,,,,,,,
,Q16989282,local-authority-eng:ERY,,,,,,,
,Q54554266,local-authority-eng:ESK,,,,,E07000244,2019-04-01,
,Q54666929,local-authority-eng:GAT,,,,,,,
,Q1135166,local-authority-eng:GLA,,,,,E12000007,,
,Q16839354,local-authority-eng:GLS,,,,,,,
,Q5600634,local-authority-eng:GMCA,,,,,E47000001,,
,Q73072634,local-authority-eng:GOS,,,,,,,
,Q5604860,local-authority-eng:GRE,,,,,,,
,Q73072652,local-authority-eng:HAA,,,,,,,
,Q73072645,local-authority-eng:HAR,,,,,,,
,Q73072650,local-authority-eng:HAS,,,,,,,
