name,wikidata,organisation,government-organisation,website,opendatacommunities,esd-inventories,statistical-geography,start-date,end-date
,Q5683826,local-authority-eng:HAV,,,,,,,
,Q5637369,local-authority-eng:HCK,,,,,,,
,Q5763303,local-authority-eng:HIL,,,,,,,
,Q5645758,local-authority-eng:HMF,,,,,,,
,Q5913301,local-authority-eng:HNS,,,,1446,,,
,,local-authority-eng:HOR,,,,1475,,,
,Q5666565,local-authority-eng:HRW,,,,,,,
,Q5657624,local-authority-eng:HRY,,,,,,,
,Q28195166,local-authority-eng:IOS,,,,,,,
,Q6084379,local-authority-eng:ISL,,,,,,,
,,local-authority-eng:LDS,,,,1269,,,
,Q6391507,local-authority-eng:KEC,,,,,,,
,Q16995709,local-authority-eng:KIR,,,,,,,
,Q6413671,local-authority-eng:KTT,,,,,,,
,Q6481450,local-authority-eng:LBH,,,,,,,
,Q6519163,local-authority-eng:LCE,,,,,,,
,Q16996746,local-authority-eng:LCR,,,,,E47000004,,
,Q6537320,local-authority-eng:LEW,,,,,,,
,Q73072583,local-authority-eng:LIC,,,,,,,
,Q16996347,local-authority-eng:LIN,,,,,,,
,Q1094147,local-authority-eng:LND,,,,,,,
,Q2302252,local-authority-eng:MAN,,,,,,,
,Q6841843,local-authority-eng:MDB,,,,,,,
,Q6820723,local-authority-eng:MRT,,,,,,,
,Q6386521,local-authority-eng:NBL,,,,,,,
,Q7055115,local-authority-eng:NDE,,,,,,,
,Q16998823,local-authority-eng:NET,,,,,,,
,Q73072702,local-authority-eng:NOR,,,,,,,
,Q17012769,local-authority-eng:NOW,,,,,,,
,Q17016922,local-authority-eng:NSM,,,,1536,,,
,Q7018141,local-authority-eng:NWM,,,,,,,
,Q17017730,local-authority-eng:OLD,,,,,,,
,Q7228609,local-authority-eng:POL,,,,,,,
,Q7305508,local-authority-eng:RDB,,,,1520,,,
,Q17018654,local-authority-eng:RDG,,,,,,,
,Q14978996,local-authority-eng:RED,,,,,,,
,Q7331065,local-authority-eng:RIC,,,,,,,
,Q7592257,local-authority-eng:SAL,,,,,,,
,Q17020947,local-authority-eng:SCR,,,,,E47000002,2018-05-03,
,Q7446119,local-authority-eng:SFT,,,,,,,
,Q55099243,local-authority-eng:SHE,,,,,,,
,Q17022094,local-authority-eng:SHN,,,,,,,
,Q7541466,local-authority-eng:SLG,,,,,,,
,Q7650288,local-authority-eng:STN,,,,,,,
,Q7615422,local-authority-eng:STV,,,,,,,
,Q7571153,local-authority-eng:SWK,,,,,,,
,Q60790331,local-authority-eng:SWT,,,,,E07000246,,
,Q73072788,local-authority-eng:TAW,,,,,,,
,Q17059334,local-authority-eng:TFW,,,,,,,
,Q21061639,local-authority-eng:TVCA,,,,,E47000006,,
,Q7829677,local-authority-eng:TWH,,,,,,,
,Q7974596,local-authority-eng:WAT,,,,,,,
,Q24993670,local-authority-eng:WECA,,,,,E47000009,2017-02-09,
,Q7982137,local-authority-eng:WEW,,,,,,,
,Q7966606,local-authority-eng:WFT,,,,,,,
,Q7999507,local-authority-eng:WGN,,,,,,,
,Q7961061,local-authority-eng:WKF,,,,,,,
,Q8030462,local-authority-eng:WLV,,,,329,,,
,Q21061625,local-authority-eng:WMCA,,,,,E47000007,2016-06-17,
,Q7967311,local-authority-eng:WND,,,,,,,
,Q6391507,local-authority-eng:WNM,,,,,,,
,Q73072848,local-authority-eng:WOC,,,,,,,
,,local-authority-eng:WOI,,,,1454,,,
,Q17038877,local-authority-eng:WRL,,,,,,,
,Q17033474,local-authority-eng:WRT,,,,,,,
,Q73072837,local-authority-eng:WSK,,,,,E07000245,2019-04-01,
,Q7989145,local-authority-eng:WSM,,,,,,,
,,local-authority-eng:WYO,,,,1486,,,
,Q17059453,local-authority-eng:YOR,,,,,,,
,Q16997843,local-authority-eng:MIK,,,,,,,
West Yorkshire Combined Authority,Q17035952,local-authority-eng:WYCA,,,,,E47000003,2014-04-01,
North East Combined Authority,Q16986408,local-authority-eng:NECA,,,,,E47000005,2014-04-15,
