tag,name,plural
government-organisation,"Government organisation","Government departments, agencies and public bodies"
public-authority,"Public authority","Public authorities"
local-authority-eng,"Local authority","Local authorities"
national-park-authority,"National park","National park authorities, including the Broads"
regional-park-authority,"Regional park authority","Regional park authorities"
development-corporation,"Development corporation","Development corporations"
transport-authority,"Transport authority","Transport authorities"
waste-authority,"Waste authority","Waste authorities"
