entity,organisation
1,development-corporation:Q20648596
2,development-corporation:Q4916714
3,development-corporation:Q6670544
4,development-corporation:Q6670837
5,development-corporation:Q72456968
6,development-corporation:Q72463795
7,development-corporation:Q7799380
8,development-corporation:Q7860503
9,development-corporation:Q7986087
10,government-organisation:D303
11,government-organisation:D38
12,government-organisation:D4
13,government-organisation:D69
14,government-organisation:EA39
15,government-organisation:EA87
16,government-organisation:PB1164
17,government-organisation:PB1204
18,government-organisation:PB1218
19,government-organisation:PB1232
20,government-organisation:PB160
21,government-organisation:PB207
22,government-organisation:PB372
23,government-organisation:PB373
24,government-organisation:PB375
25,government-organisation:PC163
26,local-authority-eng:ADU
27,local-authority-eng:ALL
28,local-authority-eng:AMB
29,local-authority-eng:ARU
30,local-authority-eng:ASF
31,local-authority-eng:ASH
32,local-authority-eng:AYL
33,local-authority-eng:BAB
34,local-authority-eng:BAE
35,local-authority-eng:BAI
36,local-authority-eng:BAN
37,local-authority-eng:BAR
38,local-authority-eng:BAS
39,local-authority-eng:BBD
40,local-authority-eng:BDF
41,local-authority-eng:BDG
42,local-authority-eng:BEN
43,local-authority-eng:BEX
44,local-authority-eng:BIR
45,local-authority-eng:BKM
46,local-authority-eng:BLA
47,local-authority-eng:BMH
48,local-authority-eng:BNE
49,local-authority-eng:BNH
50,local-authority-eng:BNS
51,local-authority-eng:BOL
52,local-authority-eng:BOS
53,local-authority-eng:BOT
54,local-authority-eng:BPC
55,local-authority-eng:BPL
56,local-authority-eng:BRA
57,local-authority-eng:BRC
58,local-authority-eng:BRD
59,local-authority-eng:BRE
60,local-authority-eng:BRM
61,local-authority-eng:BRO
62,local-authority-eng:BRT
63,local-authority-eng:BRW
64,local-authority-eng:BRX
65,local-authority-eng:BRY
66,local-authority-eng:BST
67,local-authority-eng:BUC
68,local-authority-eng:BUN
69,local-authority-eng:BUR
70,local-authority-eng:CAB
71,local-authority-eng:CAM
72,local-authority-eng:CAN
73,local-authority-eng:CAR
74,local-authority-eng:CAS
75,local-authority-eng:CAT
76,local-authority-eng:CBF
77,local-authority-eng:CHA
78,local-authority-eng:CHC
79,local-authority-eng:CHE
80,local-authority-eng:CHI
81,local-authority-eng:CHL
82,local-authority-eng:CHN
83,local-authority-eng:CHO
84,local-authority-eng:CHR
85,local-authority-eng:CHS
86,local-authority-eng:CHT
87,local-authority-eng:CHW
88,local-authority-eng:CLD
89,local-authority-eng:CMA
90,local-authority-eng:CMD
91,local-authority-eng:COL
92,local-authority-eng:CON
93,local-authority-eng:COP
94,local-authority-eng:COR
95,local-authority-eng:COT
96,local-authority-eng:COV
97,local-authority-eng:CPCA
