region,name,statistical-geography
north-east,North East,E12000001
north-west,North West,E12000002
yorkshire-and-the-humber,Yorkshire and The Humber,E12000003
east-midlands,East Midlands,E12000004
west-midlands,West Midlands,E12000005
east-of-england,East of England,E12000006
london,London,E12000007
south-east,South East,E12000008
south-west,South West,E12000009
