organisation,name,website,statistical-geography
development-corporation:london-legacy,London Legacy Development Corporation,https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy,E51000001
development-corporation:opdc,Old Oak and Park Royal Development Corporation,https://www.london.gov.uk/about-us/organisations-we-work/old-oak-and-park-royal-development-corporation-opdc/,E51000002
development-corporation:south-tees,South Tees Development Corporation,https://www.southteesdc.com/,E51000004
government-organisation:PB1154,,,E51000003
government-organisation:OT840,,,
government-organisation:PB501,,,
government-organisation:PB374,,,
