organisation,name,website,statistical-geography
local-authority-eng:HRY,,https://www.haringey.gov.uk,
local-authority-eng:HRW,,https://www.harrow.gov.uk,
local-authority-eng:HAV,,https://www.havering.gov.uk,
local-authority-eng:HIL,,https://www.hillingdon.gov.uk,
local-authority-eng:HNS,,https://www.hounslow.gov.uk,
local-authority-eng:ISL,,https://www.islington.gov.uk,
local-authority-eng:LBH,,https://www.lambeth.gov.uk,
local-authority-eng:LEW,,https://www.lewisham.gov.uk,
local-authority-eng:MRT,,https://www.merton.gov.uk,
local-authority-eng:NWM,,https://www.newham.gov.uk,
local-authority-eng:RDB,,https://www.redbridge.gov.uk,
local-authority-eng:RIC,,https://www.richmond.gov.uk,
local-authority-eng:SWK,,https://www.southwark.gov.uk,
local-authority-eng:STN,,https://www.sutton.gov.uk,
local-authority-eng:TWH,,https://www.towerhamlets.gov.uk,
local-authority-eng:WFT,,https://www.walthamforest.gov.uk,
local-authority-eng:WND,,https://www.wandsworth.gov.uk,
local-authority-eng:LUT,,https://www.luton.gov.uk,
local-authority-eng:MAI,,https://www.maidstone.gov.uk,
local-authority-eng:MAL,,https://www.maldon.gov.uk,
local-authority-eng:MAV,,https://www.malvernhills.gov.uk,
local-authority-eng:MAN,,https://www.manchester.gov.uk,
local-authority-eng:MAS,,https://www.mansfield.gov.uk,
local-authority-eng:MDW,,https://www.medway.gov.uk,
local-authority-eng:MEL,,https://www.melton.gov.uk,
local-authority-eng:MEN,,https://www.mendip.gov.uk,
local-authority-eng:MDE,,https://www.middevon.gov.uk,
local-authority-eng:MSU,,https://www.midsuffolk.gov.uk,
local-authority-eng:MSS,,https://www.midsussex.gov.uk,
local-authority-eng:MDB,,https://www.middlesbrough.gov.uk,
local-authority-eng:HMF,,https://www.milton-keynes.gov.uk,
local-authority-eng:MOL,,https://www.molevalley.gov.uk,
local-authority-eng:NEW,,https://www.newforestdc.gov.uk,
local-authority-eng:NEA,,https://www.newark-sherwooddc.gov.uk,
local-authority-eng:NEC,,https://www.newcastle-staffs.gov.uk,
local-authority-eng:NET,,https://www.newcastle.gov.uk,
local-authority-eng:NFK,,https://www.norfolk.gov.uk,
local-authority-eng:NDE,,https://www.northdevon.gov.uk,
local-authority-eng:NDO,,https://www.dorsetforyou.com,
local-authority-eng:NED,,https://www.ne-derbyshire.gov.uk,
local-authority-eng:NEL,,https://www.nelincs.gov.uk,
local-authority-eng:NHE,,https://www.north-herts.gov.uk,
local-authority-eng:NKE,,https://www.n-kesteven.gov.uk,
local-authority-eng:NLN,,https://www.northlincs.gov.uk,
local-authority-eng:NNO,,https://www.northnorfolk.org/,
local-authority-eng:NSM,,https://www.n-somerset.gov.uk,
local-authority-eng:NTY,,https://www.northtyneside.gov.uk,
local-authority-eng:NWA,,https://www.northwarks.gov.uk,
local-authority-eng:NWL,,https://www.nwleics.gov.uk,
local-authority-eng:NYK,,https://www.northyorks.gov.uk,
local-authority-eng:NOR,,https://www.northampton.gov.uk,
local-authority-eng:NTH,,https://www.northamptonshire.gov.uk,
local-authority-eng:NBL,,https://www.northumberland.gov.uk,
local-authority-eng:NOW,,https://www.norwich.gov.uk,
local-authority-eng:NGM,,https://www.nottinghamcity.gov.uk,
local-authority-eng:NTT,,https://www.nottinghamshire.gov.uk,
local-authority-eng:NUN,,https://www.nuneatonandbedworth.gov.uk,
local-authority-eng:OAD,,https://oadby-wigston.gov.uk,
local-authority-eng:OLD,,https://www.oldham.gov.uk,
local-authority-eng:OXO,,https://www.oxford.gov.uk,
local-authority-eng:OXF,,https://www.oxfordshire.gov.uk,
local-authority-eng:PEN,,https://www.pendle.gov.uk,
local-authority-eng:PTE,,https://www.peterborough.gov.uk,
local-authority-eng:PLY,,https://www.plymouth.gov.uk,
local-authority-eng:POR,,https://www.portsmouth.gov.uk,
local-authority-eng:PRE,,https://www.preston.gov.uk,
local-authority-eng:PUR,,https://www.dorsetforyou.com,
local-authority-eng:RDG,,https://beta.reading.gov.uk,
local-authority-eng:RCC,,https://www.redcar-cleveland.gov.uk,
local-authority-eng:RED,,https://www.redditchbc.gov.uk,
local-authority-eng:REI,,https://www.reigate-banstead.gov.uk,
local-authority-eng:RIB,,https://www.ribblevalley.gov.uk,
local-authority-eng:RIH,,https://richmondshire.gov.uk,
local-authority-eng:RCH,,https://www.rochdale.gov.uk,
local-authority-eng:ROC,,https://www.rochford.gov.uk,
local-authority-eng:ROS,,https://www.rossendale.gov.uk,
local-authority-eng:ROH,,https://www.rother.gov.uk,
local-authority-eng:ROT,,https://www.rotherham.gov.uk,
local-authority-eng:GRE,,https://www.royalgreenwich.gov.uk,
local-authority-eng:KEC,,https://www.rbkc.gov.uk,
local-authority-eng:KTT,,https://www.kingston.gov.uk,
local-authority-eng:WNM,,https://www.rbwm.gov.uk,
local-authority-eng:RUG,,https://www.rugby.gov.uk,
local-authority-eng:RUN,,https://www.runnymede.gov.uk,
local-authority-eng:RUS,,https://www.rushcliffe.gov.uk,
local-authority-eng:RUH,,https://www.rushmoor.gov.uk,
local-authority-eng:RUT,,https://www.rutland.gov.uk,
local-authority-eng:RYE,,https://www.ryedale.gov.uk,
local-authority-eng:SLF,,https://www.salford.gov.uk,
local-authority-eng:SAW,,https://www.sandwell.gov.uk,
local-authority-eng:SCE,,https://www.scarborough.gov.uk,
local-authority-eng:SEG,,https://www.sedgemoor.gov.uk,
local-authority-eng:SFT,,https://www.sefton.gov.uk,
local-authority-eng:SEL,,https://www.selby.gov.uk,
local-authority-eng:SEV,,https://www.sevenoaks.gov.uk,
local-authority-eng:SHF,,https://www.sheffield.gov.uk,
local-authority-eng:SHE,,https://www.shepway.gov.uk,
local-authority-eng:SHR,,https://www.shropshire.gov.uk,
local-authority-eng:SLG,,https://www.slough.gov.uk,
local-authority-eng:SOL,,https://www.solihull.gov.uk,
local-authority-eng:SOM,,https://www.somerset.gov.uk,
local-authority-eng:SBU,,https://www.southbucks.gov.uk,
local-authority-eng:SCA,,https://www.scambs.gov.uk,
local-authority-eng:SDE,,https://www.south-derbys.gov.uk,
local-authority-eng:SGC,,https://www.southglos.gov.uk,
local-authority-eng:SHA,,https://www.southhams.gov.uk,
local-authority-eng:SHO,,https://www.sholland.gov.uk,
local-authority-eng:SKE,,https://www.southkesteven.gov.uk,
local-authority-eng:SLA,,https://www.southlakeland.gov.uk,
local-authority-eng:SNO,,https://www.south-norfolk.gov.uk,
local-authority-eng:SNR,,https://www.southnorthants.gov.uk,
local-authority-eng:SOX,,https://www.southoxon.gov.uk,
local-authority-eng:SRI,,https://www.southribble.gov.uk,
local-authority-eng:SSO,,https://www.southsomerset.gov.uk,
local-authority-eng:SST,,https://www.sstaffs.gov.uk,
local-authority-eng:STY,,https://www.southtyneside.info,
local-authority-eng:STH,,https://www.southampton.gov.uk,
local-authority-eng:SOS,,https://www.southend.gov.uk,
local-authority-eng:SPE,,https://www.spelthorne.gov.uk,
local-authority-eng:SAL,,https://www.stalbans.gov.uk,
local-authority-eng:SED,,https://www.stedmundsbury.gov.uk,
local-authority-eng:SHN,,https://www.sthelens.gov.uk,
local-authority-eng:STA,,https://www.staffordbc.gov.uk,
local-authority-eng:STS,,https://www.staffordshire.gov.uk,
local-authority-eng:STF,,https://www.staffsmoorlands.gov.uk,
local-authority-eng:STV,,https://www.stevenage.gov.uk,
local-authority-eng:SKP,,https://www.stockport.gov.uk,
local-authority-eng:STT,,https://www.stockton.gov.uk,
local-authority-eng:STE,,https://www.stoke.gov.uk,
local-authority-eng:STR,,https://www.stratford.gov.uk,
local-authority-eng:STO,,https://www.stroud.gov.uk,
local-authority-eng:SUF,,https://www.suffolkcoastal.gov.uk,
local-authority-eng:SFK,,https://www.suffolk.gov.uk,
local-authority-eng:SND,,https://www.sunderland.gov.uk,
local-authority-eng:SRY,,https://www.surreycc.gov.uk,
local-authority-eng:SUR,,https://www.surreyheath.gov.uk,
local-authority-eng:SWL,,https://www.swale.gov.uk,
local-authority-eng:SWD,,https://www.swindon.gov.uk,
local-authority-eng:TAM,,https://www.tameside.gov.uk,
local-authority-eng:TAW,,https://www.tamworth.gov.uk,
local-authority-eng:TAN,,https://www.tandridge.gov.uk,
local-authority-eng:TAU,,https://www.tauntondeane.gov.uk,
local-authority-eng:TEI,,https://www.teignbridge.gov.uk,
local-authority-eng:TFW,,https://www.telford.gov.uk,
local-authority-eng:TEN,,https://www.tendringdc.gov.uk,
local-authority-eng:TES,,https://www.testvalley.gov.uk,
local-authority-eng:TEW,,https://tewkesbury.gov.uk,
local-authority-eng:THA,,https://thanet.gov.uk,
local-authority-eng:THE,,https://www.threerivers.gov.uk,
local-authority-eng:THR,,https://www.thurrock.gov.uk,
local-authority-eng:TON,,https://www.tmbc.gov.uk,
local-authority-eng:TOB,,https://www.torbay.gov.uk,
local-authority-eng:TOR,,https://www.torridge.gov.uk,
local-authority-eng:TRF,,https://www.trafford.gov.uk,
local-authority-eng:TUN,,https://www.tunbridgewells.gov.uk,
local-authority-eng:UTT,,https://www.uttlesford.gov.uk,
local-authority-eng:VAL,,https://www.whitehorsedc.gov.uk,
local-authority-eng:WKF,,https://www.wakefield.gov.uk,
local-authority-eng:WLL,,https://www.walsall.gov.uk,
local-authority-eng:WRT,,https://www.warrington.gov.uk,
local-authority-eng:WAW,,https://www.warwickdc.gov.uk,
local-authority-eng:WAR,,https://www.warwickshire.gov.uk,
local-authority-eng:WAT,,https://www.watford.gov.uk,
local-authority-eng:WAV,,https://www.waveney.gov.uk,
local-authority-eng:WAE,,https://www.waverley.gov.uk,
local-authority-eng:WEA,,https://www.wealden.gov.uk,
local-authority-eng:WEL,,https://www.wellingborough.gov.uk,
local-authority-eng:WEW,,https://www.welhat.gov.uk,
local-authority-eng:WBK,,https://www.westberks.gov.uk,
local-authority-eng:WDE,,https://www.westdevon.gov.uk,
local-authority-eng:WDO,,https://www.dorsetforyou.com,
local-authority-eng:WLA,,https://www.westlancs.gov.uk,
local-authority-eng:WLI,,https://www.west-lindsey.gov.uk,
local-authority-eng:WOX,,https://www.westoxon.gov.uk,
local-authority-eng:WSO,,https://www.westsomersetonline.gov.uk,
local-authority-eng:WSX,,https://www.westsussex.gov.uk,
local-authority-eng:WSM,,https://www.westminster.gov.uk,
local-authority-eng:WEY,,https://www.dorsetforyou.com,
local-authority-eng:WGN,,https://www.wigan.gov.uk,
local-authority-eng:WIL,,https://www.wiltshire.gov.uk,
local-authority-eng:WIN,,https://www.winchester.gov.uk,
local-authority-eng:WRL,,https://www.wirral.gov.uk,
local-authority-eng:WOI,,https://www.woking.gov.uk,
local-authority-eng:WOK,,https://www.wokingham.gov.uk,
local-authority-eng:WLV,,https://www.wolverhampton.gov.uk,
local-authority-eng:WOC,,https://www.worcester.gov.uk,
local-authority-eng:WOR,,https://www.worcestershire.gov.uk,
local-authority-eng:WYC,,https://www.wychavon.gov.uk,
local-authority-eng:WYO,,https://www.wycombe.gov.uk,
local-authority-eng:WYR,,https://www.wyre.gov.uk,
local-authority-eng:WYE,,https://www.wyreforestdc.gov.uk,
