organisation,name,website,statistical-geography
development-corporation:london-legacy,London Legacy Development Corporation,https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy,E51000001
development-corporation:opdc,Old Oak and Park Royal Development Corporation,https://www.london.gov.uk/about-us/organisations-we-work/old-oak-and-park-royal-development-corporation-opdc/,E51000002
development-corporation:south-tees,South Tees Development Corporation,https://www.southteesdc.com/,E51000004
government-organisation:PB1154,,,E51000003
local-authority-eng:ADU,,https://www.adur-worthing.gov.uk,
local-authority-eng:ALL,,https://www.allerdale.gov.uk,
local-authority-eng:AMB,,https://www.ambervalley.gov.uk,
local-authority-eng:ARU,,https://www.arun.gov.uk,
local-authority-eng:ASH,,https://www.ashfield-dc.gov.uk,
local-authority-eng:ASF,,https://www.ashford.gov.uk,
local-authority-eng:AYL,,https://www.aylesburyvaledc.gov.uk,
local-authority-eng:BAB,,https://www.babergh.gov.uk,
local-authority-eng:BNS,,https://www.barnsley.gov.uk,
local-authority-eng:BAR,,https://www.barrowbc.gov.uk,
local-authority-eng:BAI,,https://www.basildon.gov.uk,
local-authority-eng:BAN,,https://www.basingstoke.gov.uk,
local-authority-eng:BAE,,https://www.bassetlaw.gov.uk,
local-authority-eng:BAS,,https://www.bathnes.gov.uk,
local-authority-eng:BDF,,https://www.bedford.gov.uk,
local-authority-eng:BIR,,https://www.birmingham.gov.uk,
local-authority-eng:BLA,,https://www.blaby.gov.uk,
local-authority-eng:BBD,,https://www.blackburn.gov.uk,
local-authority-eng:BPL,,https://www.blackpool.gov.uk,
local-authority-eng:BOS,,https://www.bolsover.gov.uk,
local-authority-eng:BOL,,https://www.bolton.gov.uk,
local-authority-eng:BRX,,https://www.broxbourne.gov.uk,
local-authority-eng:POL,,https://www.boroughofpoole.com,
local-authority-eng:BOT,,https://www.boston.gov.uk,
local-authority-eng:BMH,,https://www.bournemouth.gov.uk,
local-authority-eng:BRC,,https://www.bracknell-forest.gov.uk,
local-authority-eng:BRD,,https://www.bradford.gov.uk,
local-authority-eng:BRA,,https://www.braintree.gov.uk,
local-authority-eng:BRE,,https://www.breckland.gov.uk,
local-authority-eng:BRW,,https://www.brentwood.gov.uk,
local-authority-eng:BNH,,https://www.brighton-hove.gov.uk,
local-authority-eng:BST,,https://www.bristol.gov.uk,
local-authority-eng:BRO,,https://www.broadland.gov.uk,
local-authority-eng:BRM,,https://www.bromsgrove.gov.uk,
local-authority-eng:BRT,,https://www.broxtowe.gov.uk,
local-authority-eng:BKM,,https://www.buckscc.gov.uk,
local-authority-eng:BUN,,https://www.burnley.gov.uk,
local-authority-eng:BUR,,https://www.bury.gov.uk,
local-authority-eng:CLD,,https://www.calderdale.gov.uk,
local-authority-eng:CAB,,https://www.cambridge.gov.uk,
local-authority-eng:CAM,,https://www.cambridgeshire.gov.uk,
local-authority-eng:CAN,,https://www.cannockchasedc.gov.uk,
local-authority-eng:CAT,,https://www.canterbury.gov.uk,
local-authority-eng:CAR,,https://www.carlisle.gov.uk,
local-authority-eng:CAS,,https://www.castlepoint.gov.uk,
local-authority-eng:CBF,,https://www.centralbedfordshire.gov.uk,
local-authority-eng:CHA,,https://www.charnwood.gov.uk,
local-authority-eng:CHL,,https://www.chelmsford.gov.uk,
local-authority-eng:CHT,,https://www.cheltenham.gov.uk,
local-authority-eng:CHR,,https://www.cherwell-dc.gov.uk,
local-authority-eng:CHE,,https://www.cheshireeast.gov.uk,
local-authority-eng:CHW,,https://www.cheshirewestandchester.gov.uk,
local-authority-eng:CHS,,https://www.chesterfield.gov.uk,
local-authority-eng:CHI,,https://www.chichester.gov.uk,
local-authority-eng:CHN,,https://www.chiltern.gov.uk,
local-authority-eng:CHO,,https://www.chorley.gov.uk,
local-authority-eng:CHC,,https://www.dorsetforyou.com,
local-authority-eng:LIC,,https://www.lincoln.gov.uk,
local-authority-eng:LND,,https://www.cityoflondon.gov.uk,
local-authority-eng:YOR,,https://www.york.gov.uk,
local-authority-eng:COL,,https://www.colchester.gov.uk,
local-authority-eng:COP,,https://www.copeland.gov.uk,
local-authority-eng:COR,,https://www.corby.gov.uk,
local-authority-eng:CON,,https://www.cornwall.gov.uk,
local-authority-eng:COT,,https://www.cotswold.gov.uk,
local-authority-eng:COV,,https://www.coventry.gov.uk,
local-authority-eng:CRA,,https://www.cravendc.gov.uk,
local-authority-eng:CRW,,https://www.crawley.gov.uk,
local-authority-eng:CMA,,https://www.cumbria.gov.uk,
local-authority-eng:DAC,,https://www.dacorum.gov.uk,
local-authority-eng:DAL,,https://www.darlington.gov.uk,
local-authority-eng:DAR,,https://www.dartford.gov.uk,
local-authority-eng:DAV,,https://www.daventrydc.gov.uk,
local-authority-eng:DER,,https://www.derby.gov.uk,
local-authority-eng:DBY,,https://www.derbyshire.gov.uk,
local-authority-eng:DEB,,https://www.derbyshiredales.gov.uk,
local-authority-eng:DEV,,https://www.devon.gov.uk,
local-authority-eng:DNC,,https://www.doncaster.gov.uk,
local-authority-eng:DOR,,https://www.dorsetforyou.com,
local-authority-eng:DOV,,https://www.dover.gov.uk,
local-authority-eng:DUD,,https://www.dudley.gov.uk,
local-authority-eng:DUR,,https://www.durham.gov.uk,
local-authority-eng:ECA,,https://www.eastcambs.gov.uk,
local-authority-eng:EDE,,https://www.eastdevon.gov.uk,
local-authority-eng:EDO,,https://www.dorsetforyou.com,
local-authority-eng:EHA,,https://www.easthants.gov.uk,
local-authority-eng:EHE,,https://www.eastherts.gov.uk,
local-authority-eng:ELI,,https://www.e-lindsey.gov.uk,
local-authority-eng:ENO,,https://www.east-northamptonshire.gov.uk,
local-authority-eng:ERY,,https://www.eastriding.gov.uk,
local-authority-eng:EST,,https://www.eaststaffsbc.gov.uk,
local-authority-eng:ESX,,https://www.eastsussex.gov.uk,
local-authority-eng:EAS,,https://www.eastbourne.gov.uk,
local-authority-eng:EAT,,https://www.eastleigh.gov.uk,
local-authority-eng:EDN,,https://www.eden.gov.uk,
local-authority-eng:ELM,,https://www.elmbridge.gov.uk,
local-authority-eng:EPP,,https://www.eppingforestdc.gov.uk,
local-authority-eng:EPS,,https://www.epsom-ewell.gov.uk,
local-authority-eng:ERE,,https://www.erewash.gov.uk,
local-authority-eng:ESS,,https://www.essex.gov.uk,
local-authority-eng:EXE,,https://www.exeter.gov.uk,
local-authority-eng:FAR,,https://www.fareham.gov.uk,
local-authority-eng:FEN,,https://www.fenland.gov.uk,
local-authority-eng:FOR,,https://www.forest-heath.gov.uk,
local-authority-eng:FOE,,https://www.fdean.gov.uk,
local-authority-eng:FYL,,https://www.fylde.gov.uk,
local-authority-eng:GAT,,https://www.gateshead.gov.uk,
local-authority-eng:GED,,https://www.gedling.gov.uk,
local-authority-eng:GLO,,https://www.gloucester.gov.uk,
local-authority-eng:GLS,,https://www.gloucestershire.gov.uk,
local-authority-eng:GOS,,https://www.gosport.gov.uk,
local-authority-eng:GRA,,https://www.gravesham.gov.uk,
local-authority-eng:GRY,,https://www.great-yarmouth.gov.uk,
local-authority-eng:GRT,,https://www.guildford.gov.uk,
local-authority-eng:HAL,,https://www.halton.gov.uk,
local-authority-eng:HAE,,https://www.hambleton.gov.uk,
local-authority-eng:HAM,,https://www.hants.gov.uk,
local-authority-eng:HAO,,https://www.harborough.gov.uk,
local-authority-eng:HAR,,https://www.harlow.gov.uk,
local-authority-eng:HAG,,https://www.harrogate.gov.uk,
local-authority-eng:HAT,,https://www.hart.gov.uk,
local-authority-eng:HPL,,https://www.hartlepool.gov.uk,
local-authority-eng:HAS,,https://www.hastings.gov.uk,
local-authority-eng:HAA,,https://www.havant.gov.uk,
local-authority-eng:HEF,,https://www.herefordshire.gov.uk,
local-authority-eng:HRT,,https://www.hertsdirect.org/,
local-authority-eng:HER,,https://www.hertsmere.gov.uk,
local-authority-eng:HIG,,https://www.highpeak.gov.uk,
local-authority-eng:HIN,,https://www.hinckley-bosworth.gov.uk,
local-authority-eng:HOR,,https://www.horsham.gov.uk,
local-authority-eng:HUN,,https://www.huntingdonshire.gov.uk,
local-authority-eng:HYN,,https://www.hyndburnbc.gov.uk,
local-authority-eng:IPS,,https://www.ipswich.gov.uk,
local-authority-eng:IOW,,https://www.iwight.com,
local-authority-eng:KEN,,https://www.kent.gov.uk,
local-authority-eng:KET,,https://www.kettering.gov.uk,
local-authority-eng:KIN,,https://www.west-norfolk.gov.uk,
local-authority-eng:KHL,,https://www.hullcc.gov.uk,
local-authority-eng:KIR,,https://www.kirklees.gov.uk,
local-authority-eng:KWL,,https://www.knowsley.gov.uk,
local-authority-eng:LAN,,https://www.lancashire.gov.uk,
local-authority-eng:LAC,,https://www.lancaster.gov.uk,
local-authority-eng:LDS,,https://www.leeds.gov.uk,
local-authority-eng:LCE,,https://www.leicester.gov.uk,
local-authority-eng:LEC,,https://www.leics.gov.uk,
local-authority-eng:LEE,,https://www.lewes.gov.uk,
local-authority-eng:LIF,,https://www.lichfielddc.gov.uk,
local-authority-eng:LIN,,https://www.lincolnshire.gov.uk,
local-authority-eng:LIV,,https://www.liverpool.gov.uk,
local-authority-eng:BDG,,https://www.lbbd.gov.uk,
local-authority-eng:BNE,,https://www.barnet.gov.uk,
local-authority-eng:BEX,,https://www.bexley.gov.uk,
local-authority-eng:BEN,,https://www.brent.gov.uk,
local-authority-eng:BRY,,https://www.bromley.gov.uk,
local-authority-eng:CMD,,https://www.camden.gov.uk,
local-authority-eng:CRY,,https://www.croydon.gov.uk,
local-authority-eng:EAL,,https://www.ealing.gov.uk,
local-authority-eng:ENF,,https://www.enfield.gov.uk,
local-authority-eng:HCK,,https://www.hackney.gov.uk,
local-authority-eng:HMF,,https://www.lbhf.gov.uk,
